Time,Sensor1,Sensor2,Sensor3,Sensor4
4.914,0,0,0,0,
4.915,0,0,0,0,
4.915,0,0,0,0,
4.947,0,0,0,0,
4.947,0,0,0,0,
4.947,0,0,0,0,
4.98,0,0,0,0,
4.98,0,0,0,0,
4.981,0,0,0,0,
4.981,0,0,0,0,
5.015,0,0,0,0,
5.016,0,0,0,0,
5.019,0,0,0,0,
5.019,0,0,0,0,
5.052,0,0,0,0,
5.052,0,0,0,0,
5.053,0,0,0,0,
5.053,0,0,0,0,
5.09,0,0,0,0,
5.09,0,0,0,0,
5.09,0,0,0,0,
5.091,0,0,0,0,
5.124,0,0,0,0,
5.124,0,0,0,0,
5.124,0,0,0,0,
5.156,0,0,0,0,
5.159,0,0,0,0,
5.159,0,0,0,0,
5.159,0,0,0,0,
5.191,0,0,0,0,
5.193,0,0,0,0,
5.193,0,0,0,0,
5.197,0,0,0,0,
5.23,0,0,0,0,
5.231,0,0,0,0,
5.231,0,0,0,0,
5.231,0,0,0,0,
5.263,0,0,0,0,
5.263,0,0,0,0,
5.264,0,0,0,0,
5.296,0,0,0,0,
5.299,0,0,0,0,
5.3,0,0,0,0,
5.301,0,0,0,0,
5.333,0,0,0,0,
5.334,0,0,0,0,
5.334,0,0,0,0,
5.339,0,0,0,0,
5.371,0,0,0,0,
5.372,0,0,0,0,
5.373,0,0,0,0,
5.405,0,0,0,0,
5.405,0,0,0,0,
5.431,0,0,0,0,
5.432,0,0,0,0,
5.433,0,0,0,0,
5.433,0,0,0,0,
5.438,0,0,0,0,
5.472,0,0,0,0,
5.472,0,0,0,0,
5.473,0,0,0,0,
5.474,0,0,0,0,
5.508,0,0,0,0,
5.51,0,0,0,0,
5.51,0,0,0,0,
5.512,0,0,0,0,
5.521,0,0,0,0,
5.553,0,0,0,0,
5.553,0,0,0,0,
5.554,0,0,0,0,
5.562,0,0,0,0,
5.593,0,0,0,0,
5.594,0,0,0,0,
5.594,0,0,0,0,
5.594,0,0,0,0,
5.626,0,0,0,0,
5.626,0,0,0,0,
5.627,0,0,0,0,
5.659,0,0,0,0,
5.659,0,0,0,0,
5.659,0,0,0,0,
5.66,0,0,0,0,
5.693,0,0,0,0,
5.693,0,0,0,0,
