Frame#,Time,Perspiration
0,0,0.006705023
2,0.1158058,0.006590713
4,0.2441465,0.006590713
6,0.3785052,0.006898089
7,0.5109665,0.006892818
9,0.7024759,0.005895359
10,0.7781803,0.006142339
11,0.9125378,0.006844439
12,0.9145431,0.006497384
13,1.046895,0.006497384
14,1.17816,0.007139489
15,1.310935,0.007189946
16,1.450306,0.006173146
17,1.580445,0.006200011
18,1.712796,0.007281865
19,1.846151,0.007354087
20,1.982014,0.006579407
21,2.111871,0.006470921
22,2.251228,0.005347759
23,2.382577,0.005688866
24,2.513926,0.007655322
25,2.646779,0.008046699
26,2.788664,0.007121791
27,2.92201,0.006525666
28,3.04985,0.007153555
29,3.218752,0.006613302
30,3.313003,0.00691801
31,3.448361,0.0060598
32,3.581716,0.007490905
33,3.715573,0.006780331
34,3.850432,0.007309097
35,3.988798,0.007308093
37,3.99381,0.005639964
39,4.248489,0.00539184
40,4.383348,0.00581818
41,4.517203,0.00563116
42,4.648553,0.00561285
43,4.793938,0.006519953
44,4.917265,0.006264389
45,5.053128,0.006350209
46,5.183474,0.006489609
47,5.316326,0.006281972
48,5.452188,0.005911101
49,5.59206,0.007034915
50,5.715888,0.00743997
51,5.852752,0.007284514
52,5.98561,0.006717422
53,6.11846,0.006589574
54,6.251813,0.006764158
55,6.384667,0.006609844
57,6.543087,0.006006994
59,6.65338,0.006006994
60,6.664913,0.006413599
62,6.785231,0.006413599
63,6.789743,0.006611545
64,6.920089,0.006611545
65,7.064472,0.006178439
66,7.187802,0.006361844
68,7.31915,0.005462463
69,7.45501,0.006169531
72,7.586362,0.00564442
73,7.718211,0.006569877
74,7.85307,0.006148772
75,7.986424,0.007172858
76,8.123789,0.006725394
77,8.254637,0.007855692
78,8.388498,0.008104021
80,8.521345,0.008839977
81,8.655203,0.007206714
82,8.790059,0.00678622
83,8.920406,0.007271483
84,9.055264,0.007019998
85,9.188618,0.006758196
86,9.320971,0.006099992
87,9.455829,0.006678224
88,9.590688,0.007077951
90,9.594196,0.006421356
91,9.721536,0.006128451
92,9.854388,0.007679993
93,9.988759,0.007724164
94,10.12411,0.006665661
95,10.25596,0.007116989
96,10.38831,0.008466383
97,10.52216,0.007792083
98,10.65602,0.005900843
99,10.78887,0.005594094
100,10.92424,0.005435019
101,11.05609,0.006378583
102,11.19295,0.006798447
103,11.32382,0.00683731
104,11.46367,0.00614533
105,11.5885,0.006769254
106,11.72487,0.007245058
107,11.86323,0.006267127
108,11.99157,0.006416858
109,12.12694,0.005605805
110,12.2638,0.00627544
111,12.39164,0.007473084
112,12.527,0.007765981
113,12.66586,0.007037742
114,12.7902,0.00623285
115,12.92506,0.007062682
116,13.06944,0.007331434
117,13.19226,0.0075163
119,13.32662,0.008990739
121,13.45948,0.00662658
122,13.59083,0.007459085
123,13.72569,0.007721402
124,13.85954,0.007854597
125,13.99189,0.007027218
126,14.12725,0.006387232
127,14.2586,0.007444637
128,14.39195,0.007878781
129,14.53684,0.008035583
130,14.65866,0.007684896
131,14.79402,0.00664055
133,14.92688,0.005909943
134,15.06073,0.007390506
135,15.19258,0.008192965
136,15.32844,0.007285401
137,15.4608,0.007332289
138,15.59416,0.007047646
139,15.73352,0.006966171
140,15.86186,0.006937852
141,15.99471,0.00802671
142,16.12757,0.006835349
144,16.26143,0.007051443
145,16.39327,0.007523119
146,16.53966,0.006567779
147,16.66149,0.00572073
148,16.79334,0.006570222
149,16.9282,0.00679711
150,17.06306,0.008507606
151,17.1939,0.008501529
152,17.32726,0.008649267
153,17.46262,0.008107476
154,17.59497,0.006517629
155,17.73033,0.006751732
156,17.86418,0.006454451
157,17.99603,0.007087366
158,18.1309,0.007211804
159,18.26275,0.007166259
160,18.40813,0.007801623
161,18.41616,0.006962159
162,18.53246,0.006962159
164,18.67084,0.007302516
165,18.83125,0.006647948
168,18.93102,0.006500394
169,19.06788,0.006117654
171,19.19672,0.005857855
172,19.33109,0.006243138
173,19.47396,0.005899257
174,19.59679,0.006659865
175,19.73064,0.006600871
176,19.86452,0.007225402
177,20.03044,0.006611754
178,20.04598,0.006160601
183,20.13422,0.005119986
184,20.28211,0.007750336
186,20.28813,0.007370691
187,20.39992,0.007370691
188,20.53328,0.00737447
189,20.66413,0.007635368
190,20.79999,0.007250823
191,20.93284,0.006480702
192,21.06619,0.006057155
193,21.19804,0.00649927
195,21.3329,0.0062264
196,21.46525,0.006794626
197,21.61866,0.006410915
198,21.73347,0.006176491
199,21.86833,0.007169971
201,22.00018,0.006439698
202,22.01221,0.006077174
203,22.13554,0.006059111
204,22.26739,0.006960594
