#KeystrokeID,Time,IsKeyDown,Key
201,128.3550525,1,BACK
202,128.4731761,0,KEY_0
203,128.5434955,1,KEY_0
204,128.6216314,0,KEY_S
205,128.705976,1,KEY_S
206,129.1692679,0,OEM_PERIOD
207,129.2491259,1,OEM_PERIOD
208,129.3814745,0,SPACE
209,129.4805349,1,SPACE
210,129.7730309,0,LSHIFT
211,129.8492406,0,KEY_W
212,129.8971473,1,LSHIFT
213,129.9371369,0,KEY_E
214,129.9531534,1,KEY_W
215,130.0323844,1,KEY_E
216,130.064531,0,SPACE
217,130.1125144,1,SPACE
218,130.3507636,0,BACK
219,130.4224626,1,BACK
220,130.5162168,0,BACK
221,130.5889766,1,BACK
222,130.6867936,0,BACK
223,130.755109,1,BACK
224,130.8488702,0,BACK
225,130.9224555,1,BACK
226,131.201358,0,BACK
227,131.2646975,1,BACK
228,131.3822569,0,OEM_COMMA
229,131.4724027,1,OEM_COMMA
230,131.5818146,0,SPACE
231,131.6653387,1,SPACE
232,133.6140855,0,KEY_A
233,133.6933431,0,KEY_N
234,133.7128546,1,KEY_A
235,133.7549907,1,KEY_N
236,133.7549907,0,KEY_D
237,133.826664,1,KEY_D
238,133.8422938,0,SPACE
239,133.9380944,1,SPACE
240,136.2104751,0,KEY_S
241,136.2886732,1,KEY_S
242,136.3980606,0,KEY_T
243,136.466098,1,KEY_T
244,136.4964201,0,KEY_A
245,136.5704639,0,KEY_R
246,136.6091721,1,KEY_A
247,136.6532219,1,KEY_R
248,136.7451753,0,KEY_T
249,136.8049359,1,KEY_T
250,137.0396726,0,KEY_E
251,137.1039168,1,KEY_E
252,137.1820406,0,KEY_D
253,137.2525611,1,KEY_D
254,137.2525611,0,SPACE
255,137.3382191,1,SPACE
256,137.4007297,0,KEY_T
257,137.4869691,1,KEY_T
258,137.5025856,0,KEY_H
259,137.5451609,0,KEY_E
260,137.5885008,1,KEY_H
261,137.6197581,0,SPACE
262,137.6404221,1,KEY_E
263,137.7053693,1,SPACE
264,137.9333419,0,KEY_S
265,138.0206384,1,KEY_S
266,138.1143944,0,KEY_E
267,138.1852452,1,KEY_E
268,138.2620142,0,KEY_S
269,138.3367243,1,KEY_S
270,138.4148433,0,KEY_S
271,138.4945896,1,KEY_S
272,138.4945896,0,KEY_I
273,138.5452445,0,KEY_O
274,138.593158,1,KEY_I
275,138.6171778,0,KEY_N
276,138.6492999,1,KEY_O
277,138.6554098,0,SPACE
278,138.6963409,1,KEY_N
279,138.7395501,1,SPACE
280,138.7603593,0,KEY_A
281,138.8409952,1,KEY_A
282,138.8492197,0,KEY_T
283,138.9390283,1,KEY_T
284,138.9390283,0,SPACE
285,139.0250492,1,SPACE
286,139.8272722,0,KEY_1
287,139.9031574,0,KEY_0
288,139.9292018,1,KEY_1
289,139.9772716,0,SPACE
290,139.9932809,1,KEY_0
291,140.0541354,1,SPACE
292,140.6165991,0,KEY_S
293,140.6889271,1,KEY_S
294,140.7045582,0,OEM_COMMA
295,140.7864595,1,OEM_COMMA
296,141.102671,0,BACK
297,141.1706299,1,BACK
298,141.2571549,0,BACK
299,141.3211738,1,BACK
300,141.3846187,0,BACK
301,141.4521272,1,BACK
302,141.5691533,0,OEM_COMMA
303,141.6527516,1,OEM_COMMA
304,142.3049844,0,SPACE
305,142.3543552,1,SPACE
306,142.5636787,0,BACK
307,142.6492884,1,BACK
308,142.7168346,0,BACK
309,142.8168374,1,BACK
310,142.8409602,0,KEY_S
311,142.9024372,1,KEY_S
312,142.9180785,0,SPACE
313,143.0028074,1,SPACE
314,143.458246,0,BACK
315,143.55254,1,BACK
316,143.5837897,0,OEM_COMMA
317,143.7012712,1,OEM_COMMA
318,143.7012712,0,SPACE
319,143.7872963,1,SPACE
320,143.8012052,0,KEY_A
321,143.874213,0,KEY_N
322,143.8971537,1,KEY_A
323,143.9518029,0,KEY_D
324,143.9851315,1,KEY_N
325,144.0376978,1,KEY_D
326,144.0376978,0,SPACE
327,144.1355272,1,SPACE
328,144.1980297,0,KEY_U
329,144.2544381,0,KEY_S
330,144.304991,1,KEY_U
331,144.3447653,1,KEY_S
332,144.4334108,0,KEY_E
333,144.4971524,1,KEY_E
334,144.5448926,0,KEY_D
335,144.6411638,0,SPACE
336,144.6483336,1,KEY_D
337,144.735167,1,SPACE
338,144.7820418,0,KEY_T
339,144.8210523,1,KEY_T
340,144.922236,0,KEY_H
341,145.0083151,1,KEY_H
342,145.2810874,0,KEY_E
343,145.3532772,1,KEY_E
344,145.3688992,0,SPACE
345,145.4377115,0,KEY_M
346,145.4649706,1,SPACE
347,145.5057854,0,KEY_O
348,145.5290152,1,KEY_M
349,145.612552,0,KEY_U
350,145.6571637,1,KEY_O
351,145.6651651,0,KEY_S
352,145.6971496,1,KEY_U
353,145.7193965,1,KEY_S
354,145.8131499,0,KEY_E
355,145.8871699,1,KEY_E
356,145.9027955,0,SPACE
357,145.9871805,1,SPACE
358,146.0184348,0,KEY_F
359,146.1030827,1,KEY_F
360,146.1979451,0,KEY_R
361,146.2533758,1,KEY_R
362,146.2846428,0,KEY_O
363,146.3377609,0,KEY_M
364,146.3603891,1,KEY_O
365,146.4186467,1,KEY_M
366,146.4342681,0,SPACE
367,146.4919537,1,SPACE
368,147.268798,0,KEY_4
369,147.3361846,1,KEY_4
