Time,X,Y,Type
69.478,1366,262,0
69.486,1360,182,0
69.494,1345,118,0
69.502,1325,56,0
69.51,1295,-8,0
69.526,1270,-40,0
69.526,1219,-73,0
69.534,1161,-59,0
69.542,1088,-48,0
69.55,1011,-35,0
69.558,930,-29,0
69.566,841,-22,0
69.574,748,-11,0
69.582,651,0,0
69.59,557,0,0
69.598,453,12,0
69.605,354,30,0
69.614,265,59,0
69.621,182,97,0
69.63,123,138,0
69.638,86,184,0
69.646,68,236,0
69.653,67,290,0
69.661,80,357,0
69.669,115,426,0
69.677,160,494,0
69.685,213,557,0
69.693,276,616,0
69.701,317,645,0
69.709,390,696,0
69.717,475,743,0
69.725,566,784,0
69.733,655,818,0
69.741,739,842,0
69.749,817,857,0
69.757,885,865,0
69.765,950,867,0
69.773,997,867,0
69.781,1037,855,0
69.789,1068,841,0
69.797,1093,825,0
69.805,1107,808,0
69.813,1114,798,0
69.821,1121,778,0
69.829,1127,746,0
69.837,1131,707,0
69.845,1131,669,0
69.853,1128,628,0
69.861,1119,585,0
69.869,1106,541,0
69.877,1089,505,0
69.885,1068,463,0
69.893,1044,427,0
69.901,1021,397,0
69.909,1002,370,0
69.917,989,351,0
69.925,980,340,0
69.933,974,332,0
69.941,972,327,0
69.949,968,322,0
69.957,966,320,0
69.965,965,318,0
69.973,964,317,0
69.981,964,315,0
69.989,964,315,0
69.997,964,314,0
70.005,964,314,0
70.013,964,313,0
70.029,964,312,0
70.109,964,313,0
70.117,964,315,0
70.125,964,322,0
70.133,964,331,0
70.141,964,342,0
70.149,964,352,0
70.157,964,363,0
70.165,964,374,0
70.173,964,387,0
70.181,966,400,0
70.189,969,412,0
70.197,971,427,0
70.205,972,442,0
70.213,975,456,0
70.221,978,468,0
70.229,979,482,0
70.237,980,492,0
70.245,981,506,0
70.253,983,520,0
70.261,983,529,0
70.269,984,539,0
70.277,984,548,0
70.285,984,557,0
70.293,984,565,0
70.301,984,575,0
70.309,984,583,0
70.317,981,589,0
70.325,972,597,0
70.333,952,610,0
70.341,913,623,0
70.349,862,637,0
70.357,799,645,0
70.365,720,645,0
70.373,610,645,0
70.381,534,641,0
70.389,404,635,0
70.397,268,628,0
70.405,134,625,0
70.413,-10,621,0
70.421,-129,618,0
70.429,-103,618,0
70.437,-72,618,0
70.445,-50,621,0
70.452,-21,624,0
70.461,-4,628,0
70.468,-1,631,0
70.477,-1,636,0
70.485,-2,642,0
70.492,-3,644,0
70.724,2,644,0
70.732,4,644,0
70.74,16,648,0
70.748,28,651,0
70.756,36,652,0
70.764,52,656,0
70.772,79,657,0
70.78,123,657,0
70.788,170,641,0
70.796,216,625,0
70.804,255,608,0
70.812,287,591,0
70.82,319,569,0
70.828,353,543,0
70.836,386,513,0
70.844,412,478,0
70.852,437,442,0
70.86,444,427,0
70.868,460,396,0
70.876,476,364,0
70.884,493,332,0
70.892,511,303,0
70.9,527,281,0
70.908,542,261,0
70.916,552,251,0
70.924,562,239,0
70.932,571,233,0
70.94,576,228,0
70.948,582,226,0
70.956,584,226,0
70.964,585,226,0
70.972,587,227,0
70.98,587,228,0
70.988,589,233,0
70.996,591,236,0
71.004,592,239,0
71.012,593,241,0
71.02,594,242,0
72.964,593,242,0
72.972,591,241,0
72.98,584,239,0
72.988,576,235,0
72.996,563,230,0
73.004,542,218,0
73.012,517,199,0
73.02,480,179,0
73.028,440,156,0
73.036,400,129,0
73.044,365,109,0
73.052,350,97,0
73.06,353,93,0
73.068,375,93,0
73.076,449,97,0
73.084,552,108,0
73.092,681,131,0
73.1,812,164,0
73.108,955,207,0
73.116,1040,243,0
73.124,1149,299,0
73.132,1243,353,0
73.14,1327,412,0
73.148,1408,471,0
73.156,1484,531,0
73.168,1561,597,0
73.172,1637,657,0
73.18,1697,707,0
73.188,1745,750,0
73.196,1778,780,0
73.204,1795,798,0
73.212,1802,806,0
73.22,1803,810,0
73.228,1804,810,0
73.236,1804,811,0
89.604,1804,811,0
89.612,1804,809,0
89.62,1804,799,0
89.628,1794,771,0
89.636,1787,718,0
89.644,1785,679,0
89.652,1788,663,0
89.66,1789,661,0
89.668,1790,661,0
89.683,1789,661,0
89.691,1786,661,0
89.699,1775,658,0
89.707,1753,650,0
89.715,1717,636,0
89.723,1677,617,0
89.731,1613,585,0
89.739,1538,541,0
89.747,1461,494,0
89.755,1390,437,0
89.763,1343,376,0
89.771,1304,310,0
89.779,1280,244,0
89.787,1270,180,0
89.795,1266,123,0
89.803,1257,75,0
89.811,1234,35,0
89.819,1195,0,0
89.827,1135,-41,0
89.835,1061,-30,0
89.843,978,-22,0
89.851,909,-6,0
89.859,884,-2,0
89.867,855,4,0
89.875,835,14,0
89.883,825,25,0
89.891,815,36,0
89.899,805,46,0
89.907,792,57,0
89.915,773,67,0
89.923,755,75,0
89.931,731,83,0
89.939,714,88,0
89.947,707,92,0
89.955,705,94,0
90.019,704,94,0
90.027,703,97,0
90.035,697,104,0
90.043,688,116,0
90.051,676,137,0
90.059,668,155,0
90.067,663,171,0
90.075,663,182,0
90.083,663,187,0
90.091,663,191,0
90.099,665,192,0
90.107,666,193,0
90.115,666,194,0
90.123,666,195,0
90.131,667,195,0
90.139,669,195,0
90.147,669,195,0
90.155,672,196,0
90.163,673,198,0
90.171,676,200,0
90.179,678,204,0
90.187,681,208,0
90.195,684,216,0
90.203,687,224,0
90.211,690,231,0
90.219,693,242,0
90.227,696,253,0
90.235,697,257,0
90.243,697,264,0
90.251,698,267,0
90.259,698,270,0
90.267,698,270,0
90.283,698,271,0
90.291,698,271,0
90.299,698,272,0
90.307,698,275,0
90.315,697,280,0
90.323,695,287,0
90.331,693,293,0
90.339,691,300,0
90.347,691,304,0
90.355,691,306,0
90.371,691,306,0
90.419,691,306,1
90.523,691,306,0
90.531,692,306,0
90.538,694,306,0
90.546,697,306,0
90.554,700,306,0
90.562,703,306,0
90.57,706,306,0
90.578,708,306,0
90.586,708,306,0
90.594,709,306,0
90.602,709,306,0
90.61,710,306,0
90.618,711,305,0
90.619,711,305,2
90.626,713,303,0
90.634,716,302,0
90.642,718,300,0
90.65,721,296,0
90.658,724,293,0
90.666,727,290,0
90.674,729,288,0
90.682,731,286,0
90.69,733,285,0
