#PressureID,Time,Sensor1,Sensor2,Sensor3,Sensor4
0,0.444621,532,491,545,539
1,0.4609123,532,491,545,540
2,0.4928994,532,491,545,539
3,0.5091337,532,491,544,538
4,0.5249148,532,491,545,539
5,0.5569224,533,491,545,540
6,0.5729185,532,491,545,538
7,0.5889204,532,491,545,538
8,0.604931,532,490,544,539
9,0.6369195,533,490,545,539
10,0.6529202,533,491,545,538
11,0.6688266,533,491,545,538
12,0.7009169,532,491,545,540
13,0.7169185,533,491,545,540
14,0.7332279,533,491,545,539
15,0.7649221,532,491,545,538
16,0.780233,533,491,545,539
17,0.7969171,533,492,545,540
18,0.8289376,533,491,545,539
19,0.8449452,533,491,545,538
20,0.8609573,533,491,545,539
21,0.8769679,533,491,545,540
22,0.9080213,533,491,545,539
23,0.924792,533,491,545,538
24,0.9407914,533,491,545,539
25,0.9727972,532,491,544,539
26,0.9886653,533,491,545,538
27,1.0043016,533,491,545,538
28,1.0362035,533,491,545,539
29,1.0525609,533,491,545,540
30,1.0685869,533,491,545,539
31,1.0846199,533,491,545,538
32,1.1166697,532,491,545,539
33,1.1326495,533,491,545,540
34,1.1486477,533,491,545,538
35,1.1806475,533,491,545,538
36,1.1966716,533,491,545,539
37,1.2125289,532,491,545,539
38,1.2443454,533,491,545,538
39,1.2605281,533,491,545,538
40,1.2765199,532,491,545,539
41,1.2925194,532,491,545,540
42,1.3247226,532,491,545,539
43,1.340527,533,491,545,538
44,1.3565279,533,491,545,539
45,1.3885292,533,491,545,540
46,1.404531,533,491,545,539
47,1.4198763,533,491,545,538
48,1.4525528,533,491,545,539
49,1.4685492,533,491,545,540
50,1.4847017,533,491,545,539
51,1.5005269,532,491,545,538
52,1.5323905,533,491,545,539
53,1.5483984,533,491,545,540
54,1.5639921,533,491,545,539
55,1.5963106,533,491,544,538
56,1.6124661,533,491,545,539
57,1.628464,533,491,544,539
58,1.6604254,533,491,544,538
59,1.6764067,533,491,545,538
60,1.6924282,533,491,545,539
61,1.7084762,532,491,545,539
62,1.740424,533,491,545,538
63,1.7565527,533,491,545,538
64,1.7724301,533,491,545,539
65,1.8042889,532,491,545,539
66,1.8200109,533,491,544,538
67,1.836081,533,491,545,538
68,1.8682757,533,491,545,539
69,1.8843461,532,491,545,539
70,1.9004539,532,491,544,538
71,1.9313014,533,491,545,538
72,1.9482973,533,491,545,539
73,1.9643266,533,491,545,539
74,1.9803027,533,491,545,538
75,2.0123212,533,491,545,538
76,2.0281637,533,491,545,539
77,2.0440749,533,492,545,539
78,2.0761646,533,492,545,538
79,2.0921508,533,492,544,538
80,2.1083503,533,491,545,539
81,2.1401904,533,491,545,539
82,2.1561986,532,491,545,538
83,2.1720866,533,491,545,538
84,2.1877277,533,491,545,539
85,2.2195158,533,491,545,539
86,2.2360988,533,491,545,539
87,2.2522054,533,491,545,538
88,2.283736,533,491,545,539
89,2.3002054,533,492,545,540
90,2.3161804,533,491,545,538
91,2.3480443,533,491,545,538
92,2.364038,533,492,545,539
93,2.3800268,533,491,545,539
94,2.3961226,533,491,545,539
95,2.4280613,533,491,545,538
96,2.4440626,533,491,545,539
97,2.4601885,533,491,545,540
98,2.4920596,533,491,545,539
99,2.5083117,533,491,545,538
100,2.5239661,533,491,545,539
101,2.5560295,533,492,545,539
102,2.5720422,532,491,544,538
103,2.5880537,533,492,545,538
104,2.6038859,533,492,545,539
105,2.6349203,533,491,544,539
106,2.6519322,533,491,545,538
107,2.6679449,532,491,545,538
108,2.6997369,533,492,545,539
109,2.7156225,533,491,544,539
110,2.7314085,533,492,545,538
111,2.7638602,533,492,544,537
112,2.7788701,533,492,544,538
113,2.7958805,533,491,545,539
114,2.8273851,533,491,545,538
115,2.8439343,533,491,545,538
116,2.8596967,532,491,545,539
117,2.8757082,533,491,545,540
118,2.9076274,533,491,544,538
119,2.9236772,533,492,544,537
120,2.9396597,533,492,544,538
121,2.9715155,533,492,544,539
122,2.9874129,533,492,544,538
123,3.0034476,533,492,544,537
124,3.0354329,533,492,545,539
125,3.0514456,533,491,545,539
126,3.0675355,533,490,545,538
127,3.0835383,533,491,545,538
128,3.1155063,533,491,545,539
129,3.1315824,534,491,545,539
130,3.147433,533,492,544,538
131,3.1794017,533,492,544,537
132,3.1954177,533,492,544,538
133,3.2113815,533,492,544,539
134,3.2433094,533,492,544,538
135,3.2593312,533,491,545,538
136,3.275486,533,491,545,539
137,3.2914885,533,492,545,539
138,3.3235927,533,491,545,539
139,3.3396033,533,491,545,538
140,3.3551131,533,492,545,539
141,3.3871584,533,492,545,539
142,3.403278,533,492,544,538
143,3.4189163,533,492,544,537
144,3.4512895,533,492,544,538
145,3.4673067,533,492,544,539
146,3.4831398,533,492,545,538
147,3.4991238,533,492,545,538
