Time,Sensor1,Sensor2,Sensor3,Sensor4
9.137,0,0,0,0,
9.169,0,0,0,0,
9.169,0,0,0,0,
9.17,0,0,0,0,
9.203,0,0,0,0,
9.204,0,0,0,0,
9.205,0,0,0,0,
9.21,0,0,0,0,
9.245,0,0,0,0,
9.246,0,0,0,0,
9.247,0,0,0,0,
9.247,0,0,0,0,
9.281,0,0,0,0,
9.281,0,0,0,0,
9.282,0,0,0,0,
9.287,0,0,0,0,
9.32,0,0,0,0,
9.321,0,0,0,0,
9.321,0,0,0,0,
9.326,0,0,0,0,
9.359,0,0,0,0,
9.359,0,0,0,0,
9.36,0,0,0,0,
9.361,0,0,0,0,
9.394,0,0,0,0,
9.395,0,0,0,0,
9.396,0,0,0,0,
9.403,0,0,0,0,
9.436,0,0,0,0,
9.437,0,0,0,0,
9.437,0,0,0,0,
9.438,0,0,0,0,
9.474,0,0,0,0,
9.474,0,0,0,0,
9.475,0,0,0,0,
9.479,0,0,0,0,
9.516,0,0,0,0,
9.516,0,0,0,0,
9.517,0,0,0,0,
9.517,0,0,0,0,
9.55,0,0,0,0,
9.551,0,0,0,0,
9.551,0,0,0,0,
9.552,0,0,0,0,
9.584,0,0,0,0,
9.585,0,0,0,0,
9.586,0,0,0,0,
9.591,0,0,0,0,
9.624,0,0,0,0,
9.628,0,0,0,0,
9.628,0,0,0,0,
9.629,0,0,0,0,
9.639,0,0,0,0,
9.645,0,0,0,0,
9.677,0,0,0,0,
9.677,0,0,0,0,
9.678,0,0,0,0,
9.709,0,0,0,0,
9.71,0,0,0,0,
9.71,0,0,0,0,
9.71,0,0,0,0,
9.742,0,0,0,0,
9.742,0,0,0,0,
9.742,0,0,0,0,
9.747,0,0,0,0,
9.779,0,0,0,0,
9.779,0,0,0,0,
9.78,0,0,0,0,
9.788,0,0,0,0,
9.819,0,0,0,0,
9.82,0,0,0,0,
9.82,0,0,0,0,
9.821,0,0,0,0,
9.852,0,0,0,0,
9.852,0,0,0,0,
9.853,0,0,0,0,
9.861,0,0,0,0,
9.893,0,0,0,0,
9.894,0,0,0,0,
9.894,0,0,0,0,
9.901,0,0,0,0,
9.933,0,0,0,0,
9.934,0,0,0,0,
9.935,0,0,0,0,
9.942,0,0,0,0,
9.973,0,0,0,0,
9.974,0,0,0,0,
9.975,0,0,0,0,
9.975,0,0,0,0,
10.007,0,0,0,0,
10.007,0,0,0,0,
10.008,0,0,0,0,
10.016,0,0,0,0,
10.026,0,0,0,0,
10.031,0,0,0,0,
10.063,0,0,0,0,
10.064,0,0,0,0,
10.065,0,0,0,0,
10.108,0,0,0,0,
10.108,0,0,0,0,
10.109,0,0,0,0,
10.109,0,0,0,0,
10.11,0,0,0,0,
10.142,0,0,0,0,
10.142,0,0,0,0,
10.142,0,0,0,0,
10.148,0,0,0,0,
10.179,0,0,0,0,
10.18,0,0,0,0,
10.18,0,0,0,0,
10.181,0,0,0,0,
10.213,0,0,0,0,
10.213,0,0,0,0,
10.214,0,0,0,0,
