Time,Sensor1,Sensor2,Sensor3,Sensor4
8.621,0,0,0,7,
8.628,0,0,0,8,
8.636,0,0,0,7,
8.668,0,0,0,7,
8.668,0,0,0,7,
8.669,0,0,0,7,
8.675,0,0,0,7,
8.706,0,0,0,7,
8.707,0,0,0,7,
8.707,0,0,0,7,
8.708,0,0,0,7,
8.739,0,0,0,6,
8.74,0,0,0,6,
8.74,0,0,0,7,
8.773,0,0,0,6,
8.773,0,0,0,6,
8.774,0,0,0,6,
8.774,0,0,0,7,
8.807,0,0,0,7,
8.807,0,0,0,6,
8.808,0,0,0,6,
8.816,0,0,0,6,
8.849,0,0,0,6,
8.849,0,0,0,7,
8.849,0,0,0,7,
8.851,0,0,0,7,
8.879,0,0,0,7,
8.879,0,0,0,6,
8.879,0,0,0,6,
8.914,0,0,0,7,
8.914,0,0,0,7,
8.914,0,0,0,7,
8.915,0,0,0,7,
8.947,0,0,0,7,
8.947,0,0,0,7,
8.947,0,0,0,7,
8.979,0,0,0,7,
8.979,0,0,0,7,
8.98,0,0,0,7,
8.981,0,0,0,7,
9.011,0,0,0,7,
9.012,0,0,0,7,
9.012,0,0,0,7,
9.033,0,0,0,6,
9.034,0,0,0,6,
9.039,0,0,0,6,
9.072,0,0,0,6,
9.072,0,0,0,6,
9.072,0,0,0,6,
9.072,0,0,0,6,
9.106,0,0,0,6,
9.106,0,0,0,6,
9.106,0,0,0,6,
9.113,0,0,0,6,
9.146,2,0,0,6,
9.146,1,0,0,6,
9.146,2,0,0,7,
9.151,1,0,0,6,
9.183,2,0,0,6,
9.184,2,0,0,6,
9.184,2,0,0,7,
9.192,2,0,0,7,
9.198,2,0,0,8,
9.23,3,0,0,8,
9.23,3,0,0,9,
9.231,3,0,0,9,
9.233,3,0,0,9,
9.264,4,0,0,9,
9.264,5,0,0,9,
9.265,6,0,0,9,
9.272,7,0,0,9,
9.279,8,0,0,9,
9.314,7,0,0,9,
9.314,7,0,0,10,
9.314,7,0,0,10,
9.315,8,0,0,11,
9.32,8,0,0,14,
9.328,8,0,0,16,
9.361,8,0,0,17,
9.361,8,0,0,18,
9.363,9,0,0,18,
9.364,9,0,0,19,
9.398,9,0,0,19,
9.399,9,0,0,20,
9.401,9,0,0,20,
9.402,9,0,0,20,
9.436,10,0,0,20,
9.438,10,0,0,18,
9.44,10,0,0,21,
9.465,10,0,0,22,
9.466,10,0,0,22,
9.468,11,0,0,24,
9.47,11,0,0,25,
9.476,12,0,0,25,
9.486,12,0,0,27,
9.491,12,0,0,25,
9.523,12,0,0,25,
9.524,12,0,0,26,
9.526,12,0,0,27,
9.529,13,0,0,27,
9.563,13,0,0,27,
9.563,13,0,0,27,
9.565,14,0,0,28,
9.566,13,0,0,29,
9.599,13,0,0,31,
9.6,16,0,0,32,
9.601,17,0,0,34,
9.604,15,0,0,36,
9.635,16,0,0,37,
9.637,15,0,0,39,
9.637,20,0,0,37,
9.638,22,0,0,29,
9.671,24,0,0,22,
9.671,26,0,0,11,
9.672,30,0,0,4,
9.676,36,0,0,0,
9.707,40,0,0,0,
9.708,41,0,0,0,
9.708,40,0,0,0,
9.74,38,0,0,0,
9.74,37,0,0,0,
9.74,36,0,0,0,
9.741,32,0,0,0,
9.773,29,0,0,0,
9.774,27,0,0,0,
9.775,26,0,0,7,
9.784,22,0,0,13,
9.792,15,0,0,18,
9.825,10,0,0,21,
9.825,6,0,9,27,
9.827,0,0,18,34,
9.827,0,0,24,42,
9.863,0,0,28,46,
9.867,0,0,37,51,
9.868,0,0,42,54,
9.9,0,0,55,57,
9.901,0,0,60,59,
9.904,1,0,73,60,
9.911,1,0,82,61,
9.919,1,0,88,61,
9.953,2,0,90,60,
9.953,4,0,94,60,
9.96,5,0,97,60,
9.961,6,0,98,60,
9.993,9,0,99,61,
9.995,11,0,98,62,
9.996,14,0,97,61,
9.999,18,0,98,62,
10.049,23,0,102,62,
10.067,25,0,104,63,
10.069,29,0,105,63,
10.069,40,0,107,60,
10.073,54,0,108,61,
10.074,74,0,109,60,
10.11,101,0,107,58,
10.112,132,0,104,57,
10.152,150,0,101,57,
10.154,162,0,96,58,
10.156,167,0,89,57,
10.156,153,0,81,57,
10.192,123,0,66,56,
10.194,78,0,56,55,
10.196,18,0,53,54,
10.23,0,0,51,53,
10.231,0,0,48,51,
10.233,0,0,50,51,
10.242,0,0,44,49,
10.277,0,0,45,45,
10.28,0,0,41,40,
10.283,0,0,37,35,
10.284,0,0,34,19,
10.318,0,0,30,0,
10.32,0,0,24,0,
10.322,0,0,11,0,
10.324,0,0,6,0,
10.331,0,0,0,0,
10.339,0,0,0,0,
10.373,0,0,7,0,
10.374,0,0,15,0,
10.376,5,0,22,0,
10.377,7,0,21,0,
10.416,3,0,14,0,
10.418,1,0,10,0,
10.42,0,0,4,0,
10.42,0,0,4,0,
10.422,0,0,5,0,
10.455,0,0,8,0,
10.456,0,0,13,0,
10.46,0,0,22,0,
10.469,0,0,28,0,
10.501,0,0,34,0,
10.501,0,0,39,0,
10.502,0,0,49,0,
10.538,0,0,62,0,
10.539,0,0,71,5,
10.541,0,0,82,22,
10.547,0,0,90,39,
10.58,0,0,91,56,
10.581,0,0,94,62,
10.583,0,0,100,69,
10.618,0,0,106,74,
10.619,0,0,118,78,
10.621,0,0,128,87,
10.668,0,0,138,99,
10.67,0,0,147,112,
10.673,0,0,158,116,
10.675,0,0,161,121,
10.677,0,0,167,123,
10.721,0,0,172,127,
10.723,0,0,174,127,
10.728,0,0,174,127,
10.73,0,0,172,126,
10.763,0,0,170,123,
10.768,0,0,162,119,
10.771,0,0,156,115,
10.807,0,0,147,109,
10.81,0,0,131,98,
10.812,0,0,126,96,
10.848,0,0,119,88,
10.852,0,0,111,76,
10.853,0,0,95,72,
10.854,0,0,86,75,
10.889,0,0,76,69,
10.891,0,0,65,63,
10.893,0,0,59,55,
10.893,0,0,51,48,
10.935,0,0,40,36,
10.937,0,0,24,32,
10.939,0,0,3,31,
10.94,0,0,0,29,
10.951,0,0,0,28,
10.982,0,0,0,26,
10.984,0,0,0,25,
10.985,0,0,0,23,
10.986,0,0,0,17,
10.989,0,0,0,15,
11.021,0,0,0,9,
11.023,0,0,0,4,
11.025,0,0,0,0,
11.027,0,0,0,0,
11.034,0,0,0,0,
11.044,0,0,0,0,
11.078,7,0,0,0,
11.08,10,0,0,0,
11.08,15,0,0,0,
11.081,17,0,0,0,
11.115,19,0,0,0,
11.115,17,0,0,0,
11.116,18,0,0,0,
11.148,23,0,0,0,
11.149,31,0,0,9,
11.155,37,0,0,35,
11.189,46,0,23,46,
11.191,51,0,45,60,
11.193,55,0,59,75,
11.197,53,0,69,83,
11.231,52,0,82,95,
11.235,48,0,93,105,
11.269,49,0,101,113,
11.27,50,0,107,117,
11.273,45,0,110,122,
11.277,44,0,114,123,
11.315,38,0,122,124,
11.317,33,0,127,126,
11.32,24,0,129,131,
11.354,12,0,131,130,
11.355,1,0,134,132,
11.359,0,0,127,131,
11.394,0,0,119,136,
11.395,0,0,106,137,
11.397,0,0,101,140,
11.431,0,0,99,142,
11.433,0,0,94,142,
11.437,0,0,94,141,
11.47,0,0,97,131,
11.472,0,0,100,114,
11.474,0,0,96,94,
11.484,0,0,76,108,
11.517,0,0,58,104,
11.521,0,0,47,100,
11.523,0,0,45,95,
11.534,0,0,40,88,
11.537,0,0,36,84,
11.569,9,0,32,81,
11.571,18,0,28,75,
11.576,25,0,22,68,
11.609,28,0,12,60,
11.61,30,0,5,50,
11.613,35,0,0,46,
11.647,36,0,0,45,
11.648,36,0,0,42,
11.649,37,0,0,40,
11.653,37,0,0,40,
11.659,36,0,0,40,
11.673,36,0,0,39,
11.681,34,0,0,40,
11.713,33,0,0,40,
11.715,34,0,0,37,
11.717,35,0,0,34,
11.719,37,0,0,33,
11.755,39,0,0,33,
11.757,39,0,0,33,
11.759,39,0,0,31,
11.759,39,0,0,30,
11.793,40,0,0,26,
11.796,40,0,0,24,
11.797,40,0,0,23,
11.805,38,0,0,23,
11.839,37,0,0,24,
11.844,38,0,0,23,
11.848,36,0,0,23,
11.874,38,0,0,23,
11.875,38,0,0,20,
11.877,38,0,0,19,
11.886,38,0,0,19,
11.894,39,0,0,18,
11.926,39,0,0,19,
11.929,42,0,0,18,
11.93,45,0,0,18,
11.963,47,0,0,19,
11.965,49,0,0,19,
11.966,50,0,0,18,
11.968,51,0,0,19,
12.004,52,0,0,16,
12.006,53,0,0,10,
12.008,54,0,0,5,
12.014,54,0,0,1,
12.047,55,0,0,0,
12.048,57,0,0,0,
12.05,59,0,0,0,
12.05,61,0,0,0,
12.054,61,0,0,0,
12.088,60,0,0,0,
12.09,60,0,0,0,
12.091,60,0,0,0,
12.094,60,0,0,0,
12.13,61,0,0,0,
12.132,60,0,0,0,
12.134,59,0,0,0,
12.136,58,0,0,0,
12.171,60,0,0,0,
12.173,62,0,0,0,
12.176,64,0,0,0,
12.18,66,0,0,0,
12.213,68,0,0,0,
12.215,68,0,0,0,
12.216,69,0,0,0,
12.219,69,0,0,0,
12.222,68,0,0,0,
12.253,67,0,0,0,
12.255,65,0,0,0,
12.256,63,0,0,0,
12.259,59,0,0,0,
12.292,55,0,0,0,
12.293,50,0,0,0,
12.296,46,0,0,0,
12.328,41,0,0,0,
12.328,40,0,0,0,
12.33,37,0,0,0,
12.331,35,0,0,0,
12.367,34,0,0,0,
12.368,36,0,0,0,
12.376,29,0,0,0,
12.408,29,0,0,0,
12.409,28,0,0,0,
12.41,29,0,0,0,
12.41,31,0,0,0,
12.442,32,0,0,0,
12.443,32,0,0,0,
12.443,33,0,0,0,
12.47,32,0,0,0,
12.47,31,0,14,0,
12.504,30,0,29,0,
12.506,30,0,47,0,
12.506,30,0,63,0,
12.507,30,0,76,0,
12.538,31,0,85,0,
12.542,31,0,90,12,
12.544,30,0,95,23,
12.583,27,0,101,36,
12.584,24,0,112,50,
12.586,15,0,122,65,
