Time,Key,Serial
89.768262,KEY_G,1
89.9355723,KEY_M,2
90.0411828,KEY_A,1
90.12108520000001,KEY_I,2
90.2163699,KEY_L,3
91.0,NA,0
92.52102099999999,LCONTROL,1
92.5991463,KEY_N,2
93.19324820000001,KEY_G,1
93.2452832,KEY_M,2
93.3531212,KEY_A,3
93.4127505,KEY_I,4
93.47818640000001,KEY_L,5
93.6547856,OEM_PERIOD,6
93.8213005,KEY_C,7
93.89449309999999,KEY_O,8
93.94065690000001,KEY_M,9
94.135712,RETURN,1
95.0,NA,0
97.0727595,KEY_Z,1
97.585033,KEY_L,2
97.9848701,KEY_X,3
98.0651909,KEY_J,1
98.2092073,KEY_T,2
98.2651189,KEY_U,3
98.84860450000001,RETURN,4
99.72915090000001,KEY_X,1
99.77648359999999,KEY_A,2
99.9100698,KEY_J,3
100.01413199999999,KEY_D,1
100.18178890000002,KEY_W,2
100.32802070000001,KEY_Z,3
100.4409776,KEY_L,4
100.89250320000001,KEY_3,5
100.9370146,KEY_1,6
100.9902795,KEY_2,7
101.1027486,RETURN,1
102.65140290000001,LSHIFT,1
102.6908428,KEY_X,2
102.9213561,KEY_A,3
103.0244726,KEY_J,1
103.11201209999999,KEY_D,2
103.27520109999999,KEY_W,3
103.41535429999999,KEY_Z,4
103.4946666,KEY_L,5
103.69418590000001,LSHIFT,6
103.84415990000001,KEY_2,7
104.05420090000001,KEY_3,1
104.1441587,KEY_1,2
104.23173320000001,KEY_2,3
104.3203679,RETURN,4
105.0,NA,0
106.0,NA,0
107.0,NA,0
108.0,NA,0
109.0,NA,0
110.0,NA,0
111.0,NA,0
112.0,NA,0
113.0,NA,0
114.0,NA,0
116.0,NA,0
117.5767493,KEY_W,1
117.6489744,KEY_E,2
117.79278899999998,SPACE,3
117.90487959999999,KEY_S,4
118.1050642,KEY_T,1
118.18656580000001,KEY_A,2
118.2811439,KEY_R,3
118.44118770000001,KEY_T,4
118.5208085,KEY_E,5
118.6648068,KEY_D,6
118.76117250000001,SPACE,7
118.9131442,KEY_T,8
119.00075890000002,KEY_H,1
119.0170507,KEY_E,2
119.0986396,SPACE,3
120.0,NA,0
121.3126314,KEY_E,1
121.48550870000001,KEY_T,2
121.70517849999999,KEY_W,3
121.8077737,KEY_O,4
121.88806969999999,KEY_R,5
121.95772420000002,KEY_K,6
122.10517340000001,SPACE,1
122.38871129999998,KEY_T,2
122.5424737,KEY_R,3
122.6430108,KEY_I,4
122.74518130000001,KEY_G,5
122.88118459999998,KEY_G,6
122.98773390000001,KEY_E,7
123.0890845,KEY_R,1
123.20923390000002,SPACE,2
123.28981340000001,KEY_A,3
123.4091837,KEY_T,4
123.48858590000002,SPACE,5
124.0,NA,0
125.5492264,KEY_E,1
125.65418490000002,KEY_C,2
125.8134656,KEY_O,3
125.8895314,KEY_N,4
125.92873,KEY_D,5
126.04757690000001,SPACE,1
127.1367534,BACK,1
127.28380929999999,BACK,2
127.44769440000002,BACK,3
127.6006435,BACK,4
127.7679834,BACK,5
127.93640790000002,BACK,6
128.4731761,KEY_0,1
128.6216314,KEY_S,2
128.2887064,BACK,3
129.1692679,OEM_PERIOD,1
129.38147450000002,SPACE,2
129.7730309,LSHIFT,3
129.8492406,KEY_W,4
129.93713689999998,KEY_E,5
130.06453100000002,SPACE,1
130.3507636,BACK,2
130.5162168,BACK,3
130.6867936,BACK,4
130.8488702,BACK,5
131.38225690000002,OEM_COMMA,1
131.5818146,SPACE,2
131.201358,BACK,3
132.0,NA,0
133.6933431,KEY_N,1
133.7549907,KEY_D,2
133.84229380000002,SPACE,3
134.0,NA,0
135.0,NA,0
136.39806059999998,KEY_T,1
136.4964201,KEY_A,2
136.5704639,KEY_R,3
136.7451753,KEY_T,4
137.0396726,KEY_E,1
137.1820406,KEY_D,2
137.2525611,SPACE,3
137.40072969999997,KEY_T,4
137.5025856,KEY_H,5
137.5451609,KEY_E,6
137.6197581,SPACE,7
137.9333419,KEY_S,8
138.1143944,KEY_E,1
138.2620142,KEY_S,2
138.41484330000003,KEY_S,3
138.49458959999998,KEY_I,4
138.5452445,KEY_O,5
138.6171778,KEY_N,6
138.65540980000003,SPACE,7
138.7603593,KEY_A,8
138.8492197,KEY_T,9
138.93902830000002,SPACE,10
139.82727219999998,KEY_1,1
139.9031574,KEY_0,2
139.9772716,SPACE,3
140.6165991,KEY_S,1
140.70455819999998,OEM_COMMA,2
141.5691533,OEM_COMMA,1
141.102671,BACK,2
141.25715490000002,BACK,3
141.3846187,BACK,4
142.3049844,SPACE,1
142.84096019999998,KEY_S,2
142.91807849999998,SPACE,3
142.56367869999997,BACK,4
142.7168346,BACK,5
143.58378969999998,OEM_COMMA,1
143.70127119999998,SPACE,2
143.8012052,KEY_A,3
143.874213,KEY_N,4
143.95180290000002,KEY_D,5
143.458246,BACK,6
144.03769780000002,SPACE,1
144.19802969999998,KEY_U,2
144.25443810000002,KEY_S,3
144.4334108,KEY_E,4
144.5448926,KEY_D,5
144.64116380000002,SPACE,6
144.7820418,KEY_T,7
144.922236,KEY_H,8
145.28108740000002,KEY_E,1
145.3688992,SPACE,2
145.4377115,KEY_M,3
145.5057854,KEY_O,4
145.612552,KEY_U,5
145.6651651,KEY_S,6
145.8131499,KEY_E,7
145.9027955,SPACE,8
146.01843480000002,KEY_F,1
146.1979451,KEY_R,2
146.2846428,KEY_O,3
146.3377609,KEY_M,4
146.4342681,SPACE,5
147.268798,KEY_4,1
147.3674346,KEY_0,2
147.836873,KEY_3,3
147.918275,KEY_0,4
147.62136819999998,BACK,5
147.74926519999997,BACK,6
148.0183053,KEY_S,1
148.2377629,SPACE,2
148.6349294,KEY_T,3
148.6859801,KEY_O,4
148.7690946,SPACE,5
149.10296680000002,KEY_5,1
149.16957639999998,KEY_0,2
149.8320821,KEY_4,3
149.901521,KEY_0,4
149.5773189,BACK,5
149.6978659,BACK,6
150.5754389,KEY_S,1
150.7001899,OEM_COMMA,2
150.8828001,SPACE,3
151.0163353,KEY_A,1
151.0692895,KEY_N,2
151.1663269,KEY_D,3
151.237634,SPACE,4
151.6171334,KEY_5,5
151.71616840000002,KEY_0,6
152.1482719,KEY_S,1
152.31227009999998,SPACE,2
152.49224750000002,KEY_T,3
152.58357959999998,KEY_O,4
152.6359781,SPACE,5
153.3766441,KEY_6,1
153.4666595,KEY_0,2
153.5672615,KEY_S,3
154.35988380000003,OEM_PERIOD,1
155.0,NA,0
157.0,NA,0
158.0,NA,0
159.0,NA,0
160.0,NA,0
161.0,NA,0
162.0,NA,0
163.0,NA,0
164.0,NA,0
165.0,NA,0
166.0,NA,0
167.0,NA,0
168.0,NA,0
169.0,NA,0
170.0,NA,0
171.0,NA,0
172.0,NA,0
173.0,NA,0
174.0,NA,0
175.0,NA,0
176.0,NA,0
177.0,NA,0
178.0,NA,0
179.0,NA,0
180.0,NA,0
181.0,NA,0
182.0,NA,0
183.0,NA,0
184.0,NA,0
185.0,NA,0
186.0,NA,0
187.0,NA,0
188.0,NA,0
189.0,NA,0
190.0,NA,0
191.0,NA,0
192.0,NA,0
193.0,NA,0
194.0,NA,0
195.0,NA,0
196.0,NA,0
197.0,NA,0
198.0,NA,0
199.0,NA,0
200.0,NA,0
201.0,NA,0
202.0,NA,0
203.0,NA,0
204.0,NA,0
205.0,NA,0
206.0,NA,0
207.0,NA,0
208.0,NA,0
209.0,NA,0
210.0,NA,0
211.0,NA,0
212.0,NA,0
213.0,NA,0
214.0,NA,0
215.0,NA,0
216.0,NA,0
217.0,NA,0
218.0,NA,0
219.0,NA,0
220.0,NA,0
221.0,NA,0
222.0,NA,0
223.0,NA,0
224.0,NA,0
225.0,NA,0
226.0,NA,0
227.0,NA,0
228.0,NA,0
229.0,NA,0
230.0,NA,0
231.0,NA,0
232.0,NA,0
233.0,NA,0
234.0,NA,0
235.0,NA,0
236.0,NA,0
237.0,NA,0
238.0,NA,0
239.0,NA,0
240.0,NA,0
241.0,NA,0
242.0,NA,0
243.0,NA,0
244.0,NA,0
245.0,NA,0
246.0,NA,0
247.0,NA,0
248.0,NA,0
249.0,NA,0
250.0,NA,0
251.0,NA,0
252.0,NA,0
253.0,NA,0
254.0,NA,0
255.0,NA,0
256.0,NA,0
257.0,NA,0
258.0,NA,0
259.0,NA,0
260.0,NA,0
261.0,NA,0
262.0,NA,0
263.0,NA,0
264.0,NA,0
265.0,NA,0
266.0,NA,0
267.0,NA,0
268.0,NA,0
269.0,NA,0
270.0,NA,0
271.0,NA,0
272.0,NA,0
273.0,NA,0
274.0,NA,0
275.0,NA,0
276.0,NA,0
277.0,NA,0
278.0,NA,0
279.0,NA,0
280.0,NA,0
281.0,NA,0
282.0,NA,0
283.0,NA,0
284.0,NA,0
285.0,NA,0
286.0,NA,0
287.0,NA,0
288.0,NA,0
289.0,NA,0
290.0,NA,0
291.0,NA,0
292.0,NA,0
293.0,NA,0
294.0,NA,0
295.0,NA,0
296.0,NA,0
297.0,NA,0
298.0,NA,0
299.0,NA,0
300.0,NA,0
301.0,NA,0
302.0,NA,0
303.0,NA,0
304.0,NA,0
305.0,NA,0
306.0,NA,0
307.0,NA,0
308.0,NA,0
309.0,NA,0
310.0,NA,0
311.0,NA,0
312.0,NA,0
313.0,NA,0
314.0,NA,0
315.0,NA,0
316.0,NA,0
317.0,NA,0
318.0,NA,0
319.0,NA,0
320.0,NA,0
321.0,NA,0
322.0,NA,0
323.0,NA,0
324.0,NA,0
325.0,NA,0
326.0,NA,0
327.0,NA,0
328.0,NA,0
329.0,NA,0
330.0,NA,0
331.0,NA,0
332.0,NA,0
333.0,NA,0
334.0,NA,0
335.0,NA,0
336.0,NA,0
337.0,NA,0
338.0,NA,0
339.0,NA,0
340.0,NA,0
341.0,NA,0
342.0,NA,0
343.0,NA,0
344.0,NA,0
345.0,NA,0
346.0,NA,0
347.0,NA,0
348.0,NA,0
349.0,NA,0
350.0,NA,0
351.0,NA,0
352.0,NA,0
353.0,NA,0
354.0,NA,0
355.0,NA,0
356.0,NA,0
357.0,NA,0
358.0,NA,0
359.0,NA,0
360.0,NA,0
361.0,NA,0
362.0,NA,0
363.0,NA,0
364.0,NA,0
365.0,NA,0
366.0,NA,0
367.0,NA,0
368.0,NA,0
369.0,NA,0
370.0,NA,0
371.0,NA,0
372.0,NA,0
373.0,NA,0
374.0,NA,0
375.0,NA,0
376.0,NA,0
377.0,NA,0
378.0,NA,0
379.0,NA,0
380.7772744,KEY_T,1
381.750006,LSHIFT,1
381.8123986,KEY_I,2
381.1296454,BACK,3
382.0010258,KEY_N,1
382.0645714,SPACE,2
382.1791998,KEY_T,3
382.2492328,KEY_H,4
382.3131537,KEY_E,5
382.41445869999995,SPACE,6
382.5141098,KEY_S,7
382.70795319999996,KEY_E,8
382.81269289999994,KEY_C,9
382.8984767,KEY_O,10
382.94410330000005,KEY_N,11
383.000144,KEY_D,1
383.0979191,SPACE,2
383.2140634,KEY_S,3
383.4084785,KEY_E,4
383.5812981,KEY_S,5
383.7001187,KEY_S,6
383.7689264,KEY_I,7
383.83227200000005,KEY_O,8
383.8884963,KEY_N,9
384.081115,OEM_COMMA,1
384.197109,SPACE,2
384.36280310000006,KEY_W,3
384.4289855,KEY_E,4
384.5308333,SPACE,5
385.8466497,LSHIFT,1
385.9072117,KEY_I,2
385.3926289,BACK,3
385.54456719999996,BACK,4
385.68156170000003,BACK,5
386.0281514,SPACE,1
386.16200360000005,KEY_U,2
386.2305605,KEY_S,3
386.40809210000003,KEY_E,4
386.51358039999997,KEY_D,5
386.58321760000007,SPACE,6
