Frame#,Time,Perspiration
0,0,0.002352887
2,0.1303437,0.002352887
3,0.264909,0.003200016
4,0.3967524,0.003717602
5,0.5286286,0.002240001
6,0.6639888,0.003259262
7,0.8013555,0.002584616
8,0.9338065,0.002148539
10,1.074682,0.003418213
12,1.22458,0.002852304
15,1.334588,0.003200035
17,1.467441,0.003199972
19,1.59779,0.002533309
21,1.73973,0.002692724
22,1.865878,0.002729375
23,1.999733,0.001834186
25,2.13322,0.003530975
26,2.269489,0.004342838
27,2.398833,0.002799991
28,2.533692,0.001984005
29,2.668965,0.003000004
30,2.804324,0.002683797
31,2.952188,0.004643218
32,3.066,0.002986722
33,3.198844,0.002879985
34,3.333489,0.003416142
35,3.465912,0.003040017
36,3.599768,0.003733269
37,3.73514,0.002666568
38,3.890448,0.001818223
39,4.012777,0.002057194
40,4.136601,0.001791984
42,4.266459,0.002821803
43,4.399936,0.002528981
44,4.542545,0.003569277
45,4.677404,0.003848685
46,4.801737,0.003413266
47,4.934665,0.003809466
48,5.067497,0.003300046
49,5.219398,0.001983993
50,5.33473,0.003377729
51,5.469054,0.00377599
52,5.600403,0.004239934
53,5.735314,0.004378923
54,5.869272,0.003377848
55,6.002378,0.004345914
56,6.144769,0.004538734
57,6.269224,0.00204652
58,6.40308,0.002481615
59,6.539962,0.00223996
60,6.668203,0.003815411
61,6.804049,0.002367937
62,6.936459,0.00223997
63,7.070159,0.004171434
64,7.204019,0.002742756
65,7.337374,0.003733355
66,7.470446,0.005381815
67,7.604338,0.00344887
68,7.737692,0.001840054
69,7.869505,0.001969243
70,8.0179,0.00226973
72,8.137549,0.003031621
73,8.278426,0.002000066
74,8.305998,0.00282798
75,8.404261,0.00287063
76,8.538627,0.002863161
77,8.671982,0.004038038
78,8.806339,0.003866589
79,8.824387,0.00382034
81,8.9402,0.003833261
82,9.073345,0.004713432
83,9.083894,0.009759959
84,9.208206,0.009759959
85,9.219233,0.005309043
86,9.338054,0.005309043
87,9.47116,0.003534819
89,9.605017,0.004907771
90,9.739735,0.005622396
91,9.871853,0.01012191
92,10.00622,0.009458172
93,10.1487,0.005035882
94,10.27454,0.00366063
95,10.4064,0.005130113
96,10.53931,0.005599936
97,10.67467,0.004309295
98,10.80802,0.003123822
99,10.94188,0.003390508
101,11.07473,0.003284249
103,11.20758,0.003199924
104,11.34144,0.004699979
105,11.4753,0.00418971
106,11.60865,0.003287312
107,11.61316,0.004276896
108,11.7405,0.003369694
109,11.89241,0.003773527
111,12.00974,0.003466711
112,12.142,0.003091502
113,12.29341,0.003935084
114,12.41222,0.002068283
119,12.68344,0.004608911
120,12.81047,0.001984018
121,12.94152,0.003040078
122,13.07587,0.00290369
123,13.21224,0.003462343
124,13.34258,0.003873765
125,13.47594,0.00507836
126,13.6103,0.002742837
127,13.76521,0.006400061
128,13.87851,0.00354291
129,14.01136,0.003971479
132,14.14271,0.005229322
133,14.2866,0.004146917
135,14.41243,0.0100727
137,14.54478,0.004249994
138,14.55582,0.003200017
139,14.69268,0.004145492
141,14.8115,0.005462929
142,14.94485,0.002472716
143,15.0777,0.003284249
144,15.21258,0.004120005
145,15.35993,0.004061552
147,15.47975,0.005296584
148,15.48626,0.003385592
149,15.61311,0.003385592
150,15.74545,0.00553463
151,15.88482,0.004196246
152,16.01266,0.004800084
156,16.41338,0.003982221
157,16.54673,0.002917619
160,16.81383,0.002164661
161,16.94917,0.003284136
163,17.08554,0.003284136
165,17.2214,0.003039987
166,17.34773,0.005440005
167,17.48109,0.006399852
168,17.61345,0.006592082
169,17.7473,0.00623995
170,17.88466,0.002666687
171,18.01483,0.002057237
172,18.14869,0.002240103
173,18.28606,0.002338522
174,18.41891,0.002036401
175,18.55828,0.003524354
178,18.68612,0.003664526
179,18.81451,0.003413368
180,18.95559,0.003705224
181,19.08443,0.002367962
182,19.21628,0.002240001
183,19.34914,0.005039987
184,19.48299,0.003045104
185,19.61584,0.00480022
186,19.7497,0.001599942
187,19.8866,0.004279053
188,20.01559,0.006637069
189,20.14995,0.003692367
190,20.28832,0.002971347
191,20.41766,0.002971477
195,20.55252,0.004685689
196,20.55854,0.003806871
197,20.68638,0.003806871
198,20.82976,0.003466597
199,20.84279,0.003542758
201,20.96061,0.003542758
202,21.08694,0.004057132
203,21.21879,0.003789454
204,21.35266,0.003419669
205,21.4888,0.004517603
206,21.51788,0.003413327
209,21.61765,0.003413327
211,21.76554,0.003323041
214,21.88976,0.002738984
215,21.89378,0.001969262
216,22.01718,0.002209499
217,22.03222,0.002514241
219,22.15204,0.002559965
220,22.2886,0.003063801
221,22.42045,0.003542845
222,22.55481,0.005342385
223,22.68792,0.003967999
224,22.81904,0.005034094
225,22.95289,0.00293329
226,23.08775,0.002105263
227,23.2181,0.002579523
228,23.35697,0.005878609
230,23.48882,0.003957851
231,23.61967,0.002600005
232,23.76104,0.003199973
233,23.88939,0.002933346
234,24.01973,0.003692183
235,24.15561,0.002778946
236,24.28828,0.002285732
237,24.41947,0.003265356
238,24.55433,0.004375902
239,24.69069,0.003781834
240,24.82305,0.003716083
241,24.97094,0.002572053
243,25.08875,0.002799887
244,25.23615,0.001818112
245,25.35597,0.001600012
246,25.48882,0.003689734
247,25.62117,0.003551181
248,25.76856,0.002273638
249,25.89176,0.004857104
250,26.02304,0.005600069
251,26.1579,0.00443069
252,26.28875,0.002285677
253,26.42311,0.002399989
254,26.56047,0.003088386
255,26.56599,0.003458105
256,26.69038,0.003885703
257,26.82275,0.002560056
258,26.96714,0.00209231
259,27.09039,0.002319938
260,27.2238,0.002499987
261,27.35817,0.003200103
262,27.49271,0.004533414
263,27.62305,0.003345441
265,27.76794,0.004799877
266,27.89127,0.00367405
267,28.02362,0.002046549
268,28.15948,0.002906181
269,28.29333,0.002666755
270,28.42769,0.001599992
273,28.56005,0.001599992
275,28.6934,0.002994821
276,28.82475,0.00320009
277,28.96212,0.001942881
278,29.09447,0.004939126
279,29.24386,0.004379019
281,29.36018,0.004379019
282,29.49362,0.002143368
283,29.62547,0.003377729
284,29.76134,0.00245331
285,29.8947,0.003099989
286,30.02554,0.003972427
287,30.1629,0.003326972
288,30.29726,0.004038048
291,30.42711,0.003599955
292,30.55996,0.002933328
293,30.69332,0.005951943
294,30.82868,0.005180855
295,30.96153,0.005114803
296,31.09538,0.003555515
297,31.22673,0.002559965
298,31.36662,0.003299979
299,31.51099,0.003919951
300,31.6278,0.005082334
301,31.76316,0.004218197
302,31.89551,0.0032842
303,32.02887,0.00196918
304,32.17025,0.002447027
305,32.29658,0.005505865
306,32.42693,0.005661504
307,32.57131,0.00365719
308,32.69564,0.00232003
309,32.829,0.004711106
310,32.96536,0.004639999
311,33.09621,0.002200044
312,33.23257,0.003136046
313,33.24059,0.003303298
314,33.37395,0.003303298
316,33.49577,0.005236326
317,33.63915,0.003054602
319,33.76499,0.002584616
320,33.89534,0.002697153
321,34.02969,0.003327933
322,34.16557,0.005292245
323,34.29891,0.005527267
324,34.42926,0.005835265
325,34.56512,0.002579542
326,34.69798,0.004899938
327,34.83083,0.002285645
328,34.97666,0.002770754
329,35.09848,0.002017358
330,35.23535,0.002240001
331,35.36519,0.004717914
332,35.49855,0.002729339
333,35.6319,0.002909085
334,35.76726,0.003323041
335,35.90964,0.002799995
336,36.03197,0.00231098
337,36.16582,0.002909002
338,36.29818,0.002751931
340,36.43504,0.003314208
342,36.56689,0.00277893
344,36.69774,0.005016248
345,36.8311,0.003600069
346,36.97249,0.003028547
347,37.09882,0.002618191
348,37.2447,0.003539426
349,37.24821,0.002219299
351,37.3661,0.002219299
352,37.49895,0.003542747
353,37.64334,0.002338475
354,37.76695,0.003060877
355,37.8993,0.002957563
356,38.03566,0.001600051
357,38.16753,0.004410782
358,38.29987,0.002593138
359,38.43623,0.003200065
360,38.56758,0.005837816
361,38.70144,0.004945431
362,38.83629,0.005356528
363,38.96764,0.006231511
364,39.11153,0.002908974
365,39.13007,0.002707675
366,39.23584,0.002707675
367,39.37972,0.005439985
368,39.40028,0.004000081
369,39.50236,0.004000081
370,39.63672,0.00447993
371,39.76856,0.003972322
372,39.90181,0.002399957
373,40.03566,0.003438306
374,40.1689,0.003881193
375,40.30227,0.003756574
376,40.43611,0.00574126
377,40.56946,0.003131182
378,40.70232,0.003599982
379,40.8467,0.003022191
380,40.96852,0.002959998
381,41.10338,0.001600003
382,41.23925,0.003581058
383,41.25228,0.003076942
384,41.37009,0.003076942
385,41.50402,0.005280028
386,41.63939,0.004799915
387,41.78116,0.003957883
388,41.90449,0.005538551
389,42.03685,0.002382189
390,42.1717,0.003657114
391,42.30405,0.002666608
392,42.4374,0.004586653
393,42.57076,0.002254524
394,42.70512,0.003093231
395,42.83998,0.004251545
396,42.97083,0.002560056
397,43.10869,0.003692383
399,43.24205,0.002752077
401,43.37189,0.00251427
402,43.50525,0.002838653
403,43.63911,0.002285688
404,43.78048,0.001969274
405,43.90738,0.003644408
406,44.04024,0.004210558
407,44.1766,0.002577828
408,44.30695,0.002909155
409,44.45396,0.005557812
410,44.57429,0.004266699
411,44.70745,0.002895327
412,44.71949,0.002254579
413,44.83981,0.002254579
414,44.97442,0.002857186
415,45.10878,0.001600035
416,45.24363,0.002080049
417,45.37448,0.004660817
418,45.50934,0.002422828
419,45.6437,0.002666611
420,45.77506,0.002514357
421,45.91041,0.00423995
422,46.05379,0.002637926
423,46.17461,0.00253659
424,46.30947,0.002560056
425,46.45586,0.00223994
426,46.57518,0.003232664
427,46.70903,0.003684851
428,46.84535,0.003519964
429,46.97469,0.003108592
430,47.11106,0.003022164
431,47.24541,0.00373326
432,47.38679,0.004705864
435,47.52367,0.004906688
436,47.6475,0.003555583
437,47.77516,0.005136868
438,47.91203,0.002560036
439,48.0539,0.003199931
440,48.17673,0.002994837
441,48.31109,0.003785435
442,48.44444,0.004882165
443,48.5773,0.003232627
444,48.71717,0.002114284
445,48.85052,0.003079973
446,48.97836,0.003337156
447,49.11222,0.003199909
448,49.24607,0.002844371
449,49.37843,0.004522646
450,49.51329,0.002838662
451,49.65366,0.004436275
452,49.7805,0.004136432
453,49.91285,0.003911209
454,50.0452,0.0055822
455,50.18206,0.004705954
457,50.31342,0.004866699
458,50.44677,0.0057683
459,50.58313,0.006199941
460,50.71498,0.002832401
461,50.85085,0.002912758
462,50.98671,0.005333302
463,51.11708,0.00252906
464,51.24691,0.002666705
465,51.38027,0.002852212
466,51.51713,0.002787136
467,51.64648,0.003199923
468,51.78184,0.00302227
469,51.9172,0.00269999
470,52.04805,0.003299941
471,52.1814,0.003482351
472,52.32976,0.003539482
473,52.44759,0.00674779
474,52.58845,0.002133295
476,52.72631,0.003199994
477,52.84764,0.003420699
478,52.98801,0.003148354
479,53.13001,0.001942859
480,53.24982,0.002559965
481,53.26336,0.003542867
482,53.38418,0.002782577
483,53.51954,0.00619996
484,53.64788,0.003199984
485,53.78825,0.003070229
487,53.9181,0.003070229
488,54.04995,0.003519978
489,54.1833,0.003359946
490,54.31967,0.004800045
491,54.44951,0.002000092
492,54.59841,0.00247284
493,54.72023,0.002844422
494,54.86161,0.002628539
496,54.98544,0.001600035
497,55.1203,0.002559965
498,55.25215,0.00219991
499,55.40405,0.003076806
500,55.52037,0.003123851
501,55.65021,0.002399983
502,55.78807,0.00290903
503,55.92005,0.002863112
504,56.06393,0.002472729
505,56.18528,0.003466597
506,56.3183,0.003327981
507,56.46168,0.00386664
509,56.58702,0.00251427
510,56.71939,0.002707652
511,56.85575,0.002057179
512,57.00406,0.001600019
513,57.12156,0.002239899
514,57.25793,0.002945416
515,57.39081,0.003142848
516,57.51972,0.004688345
517,57.65657,0.003475832
518,57.80947,0.00423529
519,57.92384,0.00266667
520,58.0567,0.003111186
521,58.07625,0.002637876
523,58.19056,0.002637876
524,58.32341,0.001882385
525,58.45576,0.002472803
526,58.59214,0.005999912
527,58.72297,0.003392045
529,58.85382,0.003388283
530,58.85632,0.004114169
533,59.12654,0.004210494
534,59.25438,0.002472591
535,59.3934,0.002560026
537,59.52275,0.002560026
538,59.6566,0.00519999
541,59.79498,0.00519999
544,59.92733,0.006533302
545,59.92983,0.005810503
546,60.05616,0.005810503
547,60.07521,0.004210558
548,60.19153,0.004130932
549,60.32639,0.003519856
551,60.4567,0.004581764
552,60.4582,0.005773886
553,60.59506,0.004088827
554,60.72691,0.005176582
555,60.86879,0.003682934
556,60.99212,0.004683562
557,61.12497,0.003045124
558,61.27806,0.005226652
560,61.39164,0.005226652
561,61.52349,0.005741188
562,61.65836,0.00159994
563,61.80143,0.004342838
564,61.81347,0.004455377
565,61.93064,0.004593552
568,62.06249,0.002118876
569,62.19635,0.002118876
572,62.32669,0.004800045
573,62.45804,0.002610405
574,62.59464,0.004713506
575,62.72649,0.003200146
576,62.85986,0.002897265
577,62.99615,0.004799891
578,63.12601,0.005815422
579,63.26174,0.004207419
581,63.3982,0.004207419
583,63.52705,0.004193064
584,63.6589,0.004100035
585,63.79285,0.003199896
586,63.94525,0.00228563
587,63.95127,0.004999943
588,64.06256,0.002559934
591,64.19542,0.002239909
592,64.32677,0.005333306
593,64.46465,0.003115659
595,64.5937,0.003899988
596,64.72606,0.003011741
597,64.86143,0.005191037
598,64.99481,0.002939513
599,65.12817,0.003733216
600,65.26003,0.002036388
601,65.39669,0.002181761
602,65.52753,0.002857056
603,65.66039,0.004400049
604,65.79425,0.003400079
605,65.93613,0.005176384
606,66.06411,0.003123749
607,66.19683,0.005097609
608,66.32768,0.006733349
609,66.46254,0.007011691
610,66.59991,0.006933353
612,66.72925,0.004141151
613,66.8626,0.003428554
614,66.99696,0.004114358
615,67.12931,0.004945501
616,67.27934,0.006266776
617,67.39793,0.004177783
619,67.52928,0.003942852
620,67.66415,0.005163547
