Time,Sensor1,Sensor2,Sensor3,Sensor4
332,515,1019,363,512
333,515,1019,363,512
334,515,1019,360,512
335,515,1019,361,512
336,515,1019,362,512
337,515,1019,362,513
338,515,1019,363,513
339,516,1019,364,513
340,516,1019,365,513
341,516,1019,365,513
342,516,1019,365,513
343,516,1019,364,513
344,516,1019,364,513
345,515,1019,365,513
346,516,1019,366,513
347,516,1019,365,513
348,516,1019,365,514
349,516,1019,365,514
350,516,1019,366,514
351,516,1019,367,514
352,516,1019,367,514
353,516,1019,367,513
354,517,1019,365,513
355,515,1019,356,511
356,513,1020,351,509
357,514,1020,355,510
358,514,1020,361,511
359,515,1020,363,512
360,516,1020,313,508
361,517,1020,321,509
362,516,1020,306,507
363,517,1020,330,508
364,518,1020,343,510
365,519,1020,351,511
366,520,1020,355,511
367,520,1020,357,511
368,520,1020,359,512
369,520,1020,361,512
370,520,1020,362,512
371,521,1020,364,512
372,521,1020,365,512
373,521,1020,365,513
374,521,1020,366,513
375,521,1020,367,514
376,520,1020,365,514
377,504,1019,351,501
378,467,1018,316,459
379,508,1020,338,464
380,521,1021,363,470
381,514,1020,353,476
382,507,1021,358,455
383,524,1022,372,462
384,519,1021,388,456
385,549,1022,370,487
386,526,1022,365,478
387,537,1022,367,476
388,498,1020,356,466
389,521,1020,374,488
390,517,1020,379,472
391,531,1018,356,467
392,478,1000,312,459
393,492,1012,340,470
394,493,1011,345,470
395,498,1011,348,475
396,500,1010,352,476
397,502,1010,355,478
398,503,1010,356,479
399,505,1009,358,479
400,505,1009,356,480
401,506,1009,359,481
402,507,1009,360,482
403,508,1009,361,483
404,509,1009,363,483
405,509,1009,365,484
406,510,1009,365,484
407,511,1009,366,485
408,512,1008,367,485
409,513,1009,367,486
410,513,1008,368,486
411,514,1008,369,487
412,515,1008,370,488
413,515,1008,371,488
414,515,1008,371,488
415,516,1008,371,488
416,516,1008,371,489
417,517,1008,372,489
418,517,1008,372,489
419,517,1008,372,489
420,518,1008,373,490
421,519,1007,374,490
422,519,1007,374,490
423,519,1007,375,490
424,519,1007,376,491
425,520,1007,376,490
426,520,1007,377,490
427,521,1007,377,491
428,521,1007,377,492
429,521,1007,377,492
430,521,1007,378,492
431,522,1007,378,492
432,522,1007,378,493
433,522,1007,378,493
434,523,1007,378,493
435,523,1006,379,493
436,524,1007,380,494
437,524,1007,380,494
438,524,1006,379,494
439,524,1007,380,494
440,524,1007,381,494
441,524,1007,381,494
442,525,1007,380,494
443,525,1007,381,494
444,525,1007,382,495
445,525,1007,382,495
446,525,1007,382,495
447,525,1007,382,496
448,526,1006,382,496
449,526,1006,383,496
450,526,1007,383,496
451,526,1007,384,497
452,527,1007,384,497
453,527,1007,384,497
454,527,1007,385,497
455,527,1007,385,497
456,527,1007,385,497
457,528,1007,385,497
458,528,1007,386,498
459,528,1007,386,497
460,528,1007,386,497
461,528,1007,386,497
462,528,1007,385,498
463,529,1007,385,498
464,529,1007,385,498
465,529,1007,386,498
466,529,1007,385,498
467,529,1007,386,498
468,529,1007,386,498
469,530,1007,386,498
470,530,1007,386,498
471,530,1006,385,498
472,530,1006,386,499
473,530,1007,386,498
474,530,1006,387,499
475,530,1006,387,499
476,531,1006,387,499
477,531,1006,387,499
478,531,1006,388,499
479,531,1007,389,500
480,531,1007,388,500
481,531,1007,389,500
482,531,1006,389,500
483,532,1006,389,500
484,532,1006,389,500
485,532,1006,388,500
486,532,1006,388,500
487,532,1006,389,500
488,533,1006,388,500
489,533,1006,388,500
490,533,1006,388,500
491,533,1006,389,501
492,533,1006,389,501
493,533,1006,388,501
494,534,1006,389,501
495,534,1006,389,501
496,534,1006,389,501
497,534,1006,390,501
498,534,1006,390,501
499,534,1006,389,502
500,534,1006,390,502
501,534,1006,390,502
502,534,1006,390,502
503,535,1005,389,502
504,535,1006,389,502
505,535,1006,390,503
506,535,1006,390,503
507,535,1006,390,503
508,536,1006,389,503
509,536,1005,389,503
510,536,1005,389,504
511,536,1005,390,504
512,536,1005,390,504
513,536,1005,390,504
514,536,1005,391,504
515,536,1005,391,504
516,536,1005,391,504
517,536,1005,392,504
518,536,1005,392,504
519,537,1005,392,504
520,537,1005,392,504
521,537,1005,392,504
522,537,1005,392,505
523,537,1005,393,505
524,537,1005,393,505
525,538,1005,392,505
526,538,1005,393,505
527,538,1005,394,505
528,538,1005,395,505
529,538,1005,395,505
530,538,1005,395,505
531,538,1005,395,505
532,539,1005,395,505
533,539,1005,395,505
534,539,1005,395,505
535,539,1005,394,505
536,539,1005,393,505
537,539,1005,393,505
538,539,1005,393,506
539,539,1005,394,506
540,540,1005,394,506
541,540,1005,394,506
542,540,1005,394,506
543,540,1005,394,506
544,540,1005,394,506
545,540,1005,395,506
546,540,1005,394,507
547,540,1005,395,507
548,540,1005,394,506
549,540,1005,395,506
550,540,1005,395,507
551,540,1005,396,507
552,541,1005,395,507
553,541,1005,396,507
554,541,1004,395,507
555,541,1004,395,507
556,541,1004,395,507
557,541,1004,395,507
558,541,1004,395,507
559,542,1005,396,507
560,542,1005,396,507
561,542,1004,396,507
562,542,1004,396,507
563,542,1004,397,507
564,542,1005,397,508
565,542,1005,397,508
566,542,1005,397,508
567,542,1004,397,508
568,542,1005,397,508
569,542,1004,398,508
570,542,1004,397,508
571,542,1005,397,508
572,542,1004,397,508
573,542,1004,398,508
574,542,1004,398,508
575,542,1004,398,508
576,543,1004,398,508
577,543,1004,398,508
578,543,1004,398,508
579,543,1004,398,508
580,543,1004,398,508
581,543,1004,398,509
582,543,1004,398,509
583,543,1004,398,508
584,543,1004,398,509
585,543,1004,397,509
586,543,1004,398,509
587,543,1004,397,508
588,543,1004,398,508
589,543,1004,398,508
590,543,1004,398,508
591,543,1004,398,508
592,543,1004,399,508
593,543,1004,399,509
594,544,1004,399,509
595,544,1004,399,509
596,544,1004,399,509
597,544,1004,399,509
598,544,1004,400,509
599,544,1004,399,509
600,544,1004,399,509
601,544,1004,399,509
602,544,1004,399,510
603,544,1003,398,510
604,545,1004,397,510
605,545,1004,395,510
606,543,1004,390,510
607,543,1004,393,510
608,543,1004,395,511
609,543,1004,395,511
610,543,1004,395,511
611,543,1003,395,511
612,543,1004,395,511
613,544,1003,395,511
614,544,1004,396,511
615,544,1004,397,511
616,544,1003,396,511
617,544,1004,396,511
618,543,1003,397,511
619,543,1004,397,511
620,544,1003,397,511
621,544,1003,397,511
622,544,1003,398,511
623,544,1003,398,511
624,544,1003,397,511
625,545,1003,397,511
626,545,1003,396,512
627,545,1003,397,512
628,545,1003,397,512
629,545,1003,398,512
630,545,1003,397,512
631,545,1003,397,512
632,545,1003,397,512
633,545,1003,396,512
634,545,1003,397,512
635,545,1003,397,512
636,544,1003,396,512
637,545,1003,397,512
638,545,1003,397,512
639,545,1003,397,512
640,545,1003,398,512
641,546,1003,398,512
642,545,1003,399,512
643,545,1003,399,512
644,546,1003,400,513
645,546,1003,400,513
646,546,1003,400,512
647,547,1004,400,512
648,547,1004,400,512
649,547,1003,400,512
650,547,1003,400,512
651,547,1003,400,513
652,547,1003,400,513
653,547,1003,401,512
654,547,1003,402,512
655,547,1003,402,513
656,547,1003,402,513
657,547,1003,403,513
658,547,1003,402,513
659,548,1004,402,513
660,548,1003,402,513
661,548,1004,403,513
662,548,1003,404,513
663,548,1004,404,513
664,548,1003,404,513
665,548,1003,404,513
666,549,1004,404,513
667,549,1004,404,513
668,549,1004,402,513
669,547,1003,400,512
670,548,1004,402,511
671,536,1004,379,503
672,506,1006,342,488
673,512,1005,352,491
674,516,1004,355,492
675,518,1004,357,493
676,519,1004,359,494
677,518,1003,362,495
678,519,1003,364,495
679,520,1003,366,496
680,521,1003,368,496
681,522,1003,369,497
682,523,1003,369,497
683,524,1003,368,497
684,524,1003,369,497
685,492,1017,373,458
686,469,1023,359,468
687,481,1023,352,478
688,480,1023,368,481
689,489,1023,366,482
690,481,1023,365,483
691,521,1023,379,485
692,532,1023,391,486
693,530,1023,399,479
694,521,1023,388,471
695,429,1019,387,454
696,422,1017,373,459
697,426,1017,376,463
698,430,1017,378,465
699,432,1016,379,466
700,434,1016,381,467
701,435,1016,378,468
702,439,1018,382,471
703,441,1020,381,470
704,449,1020,378,471
705,496,1022,384,479
706,499,1023,412,483
707,509,1023,401,486
708,511,1023,401,492
709,492,1023,418,481
710,526,1023,404,501
711,513,1023,415,488
712,485,1023,385,476
713,492,1023,398,481
714,490,1023,376,487
715,491,1023,400,489
716,498,1023,379,493
717,508,1023,397,492
718,485,1023,381,490
719,456,1014,379,483
720,456,1020,377,486
721,460,1020,379,490
722,462,1020,378,491
723,465,1020,380,493
724,467,1020,381,494
725,469,1020,382,495
726,470,1019,384,496
727,472,1019,384,497
728,473,1019,385,498
729,475,1019,386,498
730,476,1019,387,499
731,476,1019,387,499
732,477,1019,388,500
733,477,1019,389,501
734,478,1019,390,502
735,480,1019,391,502
736,480,1019,391,503
737,481,1019,391,503
738,482,1019,391,503
739,482,1019,391,503
740,483,1019,392,504
741,483,1019,392,504
742,484,1019,393,505
743,484,1019,393,505
744,484,1019,393,505
745,484,1019,393,505
746,485,1019,394,506
747,485,1019,395,505
748,485,1019,395,506
749,486,1019,395,506
750,486,1019,395,507
751,487,1019,395,507
752,487,1019,395,507
753,487,1019,395,507
754,487,1019,396,507
755,488,1019,396,507
756,488,1019,397,507
757,488,1019,396,508
758,489,1019,397,508
759,489,1019,397,508
760,490,1019,397,509
761,490,1019,398,509
762,490,1019,398,509
763,491,1019,398,510
764,491,1019,399,510
765,491,1019,399,510
766,491,1019,399,510
767,491,1019,399,510
768,492,1019,399,510
769,492,1019,399,511
770,492,1019,400,511
771,493,1018,400,511
772,493,1019,400,511
773,492,1019,400,512
774,493,1019,399,511
775,493,1019,399,511
776,493,1019,400,512
777,494,1019,400,512
778,494,1019,401,512
779,494,1019,401,512
780,494,1019,401,513
781,494,1019,401,513
782,495,1019,401,512
783,495,1019,401,513
784,495,1019,402,513
785,495,1019,402,513
786,495,1019,402,513
787,496,1019,402,513
788,496,1019,402,513
789,496,1019,402,513
790,496,1019,403,513
791,496,1019,403,514
792,496,1019,403,513
793,497,1019,404,514
794,497,1019,404,514
795,497,1019,404,514
796,498,1019,404,514
797,498,1019,405,514
798,498,1019,405,514
799,499,1019,405,515
800,499,1019,404,515
801,499,1019,404,515
802,499,1019,404,515
803,499,1019,405,515
804,500,1019,405,515
805,500,1019,405,515
806,500,1019,405,515
807,500,1019,405,515
808,500,1019,406,515
809,500,1019,406,516
810,501,1019,406,516
811,501,1019,406,516
812,501,1019,406,516
813,501,1019,407,517
814,501,1019,407,517
815,501,1019,407,516
816,501,1019,407,516
817,501,1019,407,517
818,501,1019,407,517
819,501,1019,408,517
820,501,1019,408,517
821,501,1019,408,517
822,502,1019,408,517
823,502,1019,408,517
824,502,1019,408,517
825,502,1019,409,518
826,502,1019,408,517
827,502,1019,409,518
828,502,1019,409,517
829,502,1019,409,518
830,502,1019,410,518
831,502,1019,410,518
832,503,1019,409,518
833,503,1019,410,518
834,503,1019,410,518
835,503,1019,410,518
836,503,1019,410,518
837,503,1019,411,519
838,503,1019,411,519
839,504,1019,410,519
840,504,1019,410,519
841,504,1019,410,519
842,504,1019,410,518
843,504,1019,411,519
844,504,1019,410,519
845,504,1019,411,519
846,505,1019,411,519
847,505,1019,411,519
848,505,1019,411,520
849,506,1019,411,519
850,506,1019,411,519
851,506,1019,411,520
852,506,1019,411,520
853,506,1019,412,520
854,506,1019,412,520
855,506,1019,413,520
856,506,1019,415,520
857,506,1019,415,520
858,506,1019,415,520
859,506,1019,415,520
860,506,1019,415,520
861,507,1019,415,520
862,507,1019,416,520
863,507,1019,416,520
864,507,1019,416,520
865,507,1019,416,520
866,507,1019,416,521
867,508,1019,416,521
868,508,1019,416,522
869,508,1019,416,522
870,508,1019,416,522
871,508,1019,417,522
872,508,1019,417,522
873,509,1019,417,522
874,509,1019,417,522
875,509,1019,417,522
876,509,1019,417,522
877,509,1019,417,522
878,509,1019,417,522
879,509,1019,418,522
880,509,1019,418,522
881,509,1019,418,522
882,510,1019,417,522
883,510,1019,418,522
884,510,1019,418,522
885,510,1019,418,522
886,510,1019,419,522
887,510,1019,419,522
888,510,1019,418,522
889,510,1019,417,523
890,510,1019,416,523
891,510,1019,416,523
892,510,1019,417,523
893,510,1019,417,524
894,510,1019,417,524
895,510,1019,418,523
896,510,1019,417,524
897,510,1019,417,524
898,510,1019,418,524
899,510,1019,418,524
900,511,1019,418,524
901,511,1019,417,524
902,511,1019,417,524
903,511,1019,417,524
904,511,1019,418,524
905,511,1019,418,524
906,511,1019,418,524
907,511,1019,418,524
908,511,1019,418,524
909,511,1019,418,524
910,511,1019,418,525
911,511,1019,418,525
912,511,1019,418,525
913,511,1019,419,525
914,511,1019,419,525
915,511,1019,419,525
916,512,1019,419,525
917,512,1019,419,525
918,512,1019,419,525
919,512,1019,419,525
920,512,1019,419,525
921,513,1019,418,525
922,513,1019,419,525
923,513,1019,419,525
924,513,1019,420,525
925,513,1019,420,525
926,513,1019,420,525
927,513,1019,420,525
928,513,1019,420,525
929,513,1019,420,525
930,513,1019,420,525
931,513,1019,420,525
932,513,1019,420,525
933,513,1019,420,525
934,513,1019,420,525
935,514,1019,421,525
936,514,1019,422,526
937,514,1019,422,526
938,514,1019,422,526
939,514,1019,422,526
940,514,1019,422,526
941,514,1019,423,526
942,514,1019,423,526
943,514,1019,423,526
944,514,1019,423,526
945,514,1019,423,526
946,514,1019,423,526
947,514,1019,423,526
948,514,1019,423,526
949,515,1019,423,526
950,515,1019,424,526
951,515,1019,424,526
952,515,1019,424,526
953,515,1019,424,526
954,515,1019,423,526
955,515,1019,424,526
956,515,1019,424,526
957,515,1019,423,526
958,515,1019,424,526
959,515,1019,424,526
960,515,1019,424,527
961,516,1019,424,527
962,515,1019,423,527
963,515,1019,423,527
964,516,1019,423,527
965,516,1019,423,527
966,516,1019,423,527
967,516,1019,424,527
968,516,1019,424,527
969,516,1019,424,527
970,516,1019,424,527
971,516,1019,424,527
972,516,1019,424,527
973,516,1019,424,527
974,516,1019,424,527
975,517,1019,424,527
976,517,1019,424,527
977,517,1019,424,527
978,517,1019,424,527
979,517,1019,424,527
980,517,1019,424,527
981,517,1019,424,528
982,517,1019,424,528
983,517,1019,425,528
984,517,1019,424,528
985,517,1019,425,528
986,517,1019,425,527
987,517,1019,425,528
988,517,1019,425,528
989,517,1019,425,528
990,517,1019,425,528
991,517,1019,426,528
992,517,1019,426,528
993,517,1019,426,528
994,517,1019,425,528
995,517,1019,425,528
996,517,1019,425,528
997,517,1019,425,528
998,517,1019,425,528
999,518,1019,425,528
1000,518,1019,426,528
1001,518,1019,426,528
1002,518,1019,426,528
1003,518,1019,427,528
1004,518,1019,427,528
1005,518,1019,427,528
1006,518,1019,428,528
1007,518,1019,428,528
1008,519,1019,427,528
1009,519,1019,427,528
1010,519,1019,428,528
1011,519,1019,428,528
1012,519,1019,428,528
1013,519,1019,428,528
1014,519,1019,428,529
1015,519,1019,428,528
1016,519,1019,428,528
1017,519,1019,429,528
1018,519,1019,429,528
1019,519,1019,429,528
1020,519,1019,425,528
1021,519,1019,425,528
1022,519,1019,426,528
1023,519,1019,426,528
1024,519,1019,426,528
1025,519,1019,426,528
1026,519,1019,427,528
1027,519,1019,427,529
1028,519,1019,426,528
1029,519,1019,426,528
1030,519,1019,427,529
1031,519,1019,427,529
1032,519,1019,427,529
1033,519,1019,428,529
1034,519,1019,427,529
1035,519,1019,427,529
1036,519,1019,428,529
1037,519,1019,428,529
1038,519,1019,428,529
1039,519,1019,428,529
1040,519,1019,428,529
1041,519,1019,428,529
1042,519,1019,428,529
1043,519,1019,429,529
1044,519,1019,429,529
1045,519,1019,429,529
1046,519,1019,429,530
1047,519,1019,429,529
1048,520,1019,429,530
1049,519,1019,429,530
1050,520,1019,430,530
1051,520,1019,430,530
1052,520,1019,430,530
1053,520,1019,430,530
1054,520,1019,429,530
1055,521,1019,429,530
1056,520,1019,429,530
1057,520,1019,429,530
1058,520,1019,429,530
1059,520,1019,429,530
1060,521,1019,430,530
1061,521,1019,430,530
1062,521,1019,430,530
1063,521,1019,429,530
1064,521,1019,430,530
1065,521,1019,430,530
1066,521,1019,430,530
1067,521,1019,430,530
1068,521,1019,431,530
1069,521,1019,431,530
1070,521,1019,431,531
1071,521,1019,431,531
1072,521,1019,431,531
1073,521,1019,432,530
1074,521,1019,431,530
1075,522,1019,431,531
1076,522,1019,431,531
1077,522,1019,432,531
1078,522,1019,432,531
1079,522,1019,432,531
1080,522,1019,431,531
1081,522,1019,432,531
1082,522,1019,432,531
1083,522,1019,432,531
1084,522,1019,431,531
1085,522,1019,432,531
1086,522,1019,432,531
1087,522,1019,432,531
1088,522,1019,432,531
1089,522,1019,432,531
1090,522,1019,432,532
1091,522,1019,432,532
1092,522,1019,433,531
1093,522,1019,432,531
1094,522,1019,432,531
1095,522,1019,432,531
1096,522,1019,432,531
1097,522,1019,433,531
1098,522,1019,432,531
1099,522,1019,432,532
1100,522,1019,432,531
1101,522,1019,432,531
1102,522,1019,433,531
1103,522,1019,433,531
1104,522,1019,433,532
1105,522,1019,433,532
1106,522,1019,432,532
1107,522,1019,432,532
1108,522,1019,433,532
1109,522,1019,433,532
1110,522,1019,433,532
1111,522,1019,433,532
1112,522,1019,433,531
1113,522,1019,433,532
1114,522,1019,433,531
1115,522,1019,433,532
1116,522,1019,433,531
1117,522,1019,433,531
1118,522,1019,433,532
1119,522,1019,434,531
1120,522,1019,434,531
1121,522,1019,434,532
1122,523,1019,434,532
1123,522,1019,434,531
1124,523,1019,434,531
1125,523,1019,434,532
1126,523,1019,434,531
1127,523,1019,434,532
1128,523,1019,434,532
1129,523,1019,434,532
1130,522,1019,434,532
1131,522,1019,433,532
1132,522,1019,433,532
1133,522,1019,433,532
1134,522,1019,433,532
1135,522,1019,433,532
1136,522,1019,433,532
1137,522,1019,434,532
1138,522,1019,434,532
1139,522,1019,434,532
1140,522,1019,434,532
1141,522,1019,434,532
1142,522,1019,434,532
1143,522,1019,434,532
1144,522,1019,434,532
1145,523,1019,434,532
1146,523,1019,434,532
1147,523,1019,434,532
1148,523,1019,434,532
1149,523,1019,434,533
1150,523,1019,434,533
1151,523,1019,434,533
1152,523,1019,434,533
1153,523,1019,434,532
1154,523,1019,434,532
1155,523,1019,434,532
1156,523,1019,434,532
1157,524,1019,435,532
1158,524,1019,434,532
1159,523,1019,434,532
1160,524,1019,435,532
1161,524,1019,435,532
1162,523,1019,435,532
1163,523,1019,435,532
1164,523,1019,435,532
1165,523,1019,436,532
1166,523,1019,436,532
1167,524,1019,436,532
1168,523,1019,436,533
1169,523,1019,436,533
1170,523,1019,436,533
1171,524,1019,436,533
1172,524,1019,436,533
1173,524,1019,436,533
1174,524,1019,436,533
1175,524,1019,436,533
1176,524,1019,436,533
1177,524,1019,436,533
1178,524,1019,436,533
1179,524,1019,436,533
1180,524,1019,436,533
1181,524,1019,436,533
1182,524,1019,436,533
1183,524,1019,436,533
1184,524,1019,436,533
1185,524,1019,436,533
1186,524,1019,437,533
1187,524,1019,437,533
1188,525,1019,437,533
1189,525,1019,436,533
1190,525,1019,436,533
1191,525,1019,437,533
1192,525,1019,437,533
1193,525,1019,437,533
1194,525,1019,437,533
1195,525,1019,437,533
1196,525,1019,437,533
1197,525,1019,437,533
1198,526,1019,437,533
1199,526,1019,437,534
1200,525,1019,437,533
1201,526,1019,437,533
1202,526,1019,438,534
1203,526,1019,437,534
1204,526,1019,437,534
1205,526,1019,437,534
1206,526,1019,438,534
1207,526,1019,437,534
1208,526,1019,438,534
1209,526,1019,437,534
1210,526,1019,436,534
1211,526,1019,436,534
1212,526,1019,437,534
1213,526,1019,436,534
1214,526,1019,436,534
1215,526,1019,436,534
1216,526,1019,436,534
1217,526,1019,436,534
1218,526,1019,437,534
1219,526,1019,437,534
1220,526,1019,437,534
1221,526,1019,437,533
1222,526,1019,437,533
1223,527,1019,437,534
1224,526,1019,437,534
1225,523,1019,430,531
1226,497,1019,386,516
1227,529,1022,377,514
1228,521,1022,428,512
1229,539,1022,439,517
1230,509,1022,402,515
1231,548,1022,414,508
1232,475,1022,380,512
1233,478,1022,384,516
1234,481,1022,387,518
1235,484,1021,390,520
1236,486,1021,391,520
1237,487,1021,393,521
1238,490,1021,394,522
1239,491,1021,395,522
1240,492,1022,395,523
1241,493,1022,396,524
1242,494,1021,397,524
1243,496,1021,398,525
1244,496,1021,399,525
