Time,Sensor1,Sensor2,Sensor3,Sensor4
0,474,1023,326,501
1,475,1023,327,501
2,476,1022,329,501
3,477,1022,331,502
4,477,1023,332,502
5,478,1022,331,503
6,478,1022,331,503
7,479,1023,332,503
8,479,1023,331,503
9,479,1023,332,503
10,480,1022,331,503
11,481,1022,331,503
12,481,1022,333,504
13,482,1022,333,504
14,482,1023,334,504
15,482,1023,335,504
16,482,1022,336,504
17,483,1022,337,504
18,483,1022,338,504
19,483,1022,337,504
20,483,1022,338,504
21,483,1022,338,505
22,483,1023,340,505
23,484,1022,339,505
24,484,1022,342,505
25,484,1022,343,506
26,484,1022,345,506
27,485,1022,345,506
28,485,1022,344,506
29,485,1022,343,506
30,485,1022,339,507
31,484,1022,327,507
32,484,1022,328,507
33,485,1022,339,508
34,486,1022,345,509
35,487,1022,348,510
36,488,1022,351,510
37,488,1022,352,510
38,488,1022,353,511
39,489,1022,357,511
40,490,1022,360,511
41,490,1022,361,512
42,491,1022,362,512
43,491,1022,363,512
44,491,1022,363,512
45,492,1022,364,512
46,492,1022,364,512
47,492,1022,365,512
48,492,1022,365,512
49,493,1022,365,512
50,492,1022,361,512
51,493,1022,356,512
52,493,1022,361,512
53,493,1022,361,512
54,493,1022,363,512
55,494,1022,364,512
56,494,1022,364,512
57,494,1022,365,513
58,495,1022,366,513
59,495,1022,365,513
60,496,1022,364,513
61,496,1022,367,513
62,496,1022,368,513
63,497,1022,368,513
64,497,1022,369,513
65,497,1022,368,514
66,497,1022,369,513
67,497,1022,370,513
68,498,1022,370,513
69,498,1022,371,514
70,498,1022,371,514
71,498,1022,371,514
72,498,1022,371,514
73,498,1022,370,514
74,498,1022,370,514
75,498,1022,370,514
76,499,1022,370,514
77,499,1022,371,514
78,499,1022,371,514
79,500,1022,372,514
80,500,1022,373,514
81,500,1022,374,514
82,500,1022,375,514
83,500,1022,376,514
84,500,1022,375,515
85,503,1022,371,510
86,404,1023,138,484
87,400,1023,257,454
88,440,1023,308,456
89,453,1023,305,463
90,496,1023,316,469
91,493,1023,360,477
92,499,1023,308,464
93,537,1023,335,476
94,490,1023,308,468
95,538,1023,315,468
96,544,1023,312,472
97,487,1023,294,475
98,521,1023,319,483
99,538,1023,322,480
100,546,1023,316,481
101,497,1023,313,463
102,492,1023,289,459
103,538,1023,317,462
104,531,1023,331,462
105,496,1023,291,448
106,524,1023,318,450
107,525,1023,326,452
108,453,1023,306,452
109,438,1023,309,453
110,448,1023,310,453
111,462,1023,297,455
112,462,1023,305,460
113,461,1023,308,460
114,461,796,137,495
115,420,1022,508,307
116,429,1022,444,293
117,493,1023,374,430
118,497,1022,343,433
119,458,1020,334,425
120,502,1023,369,442
121,509,1022,348,447
122,473,1022,316,427
123,494,1022,345,434
124,507,1023,361,445
125,492,1022,358,442
126,483,1023,367,447
127,511,1023,346,469
128,514,1023,356,458
129,517,1023,380,447
130,506,1023,335,459
131,518,1023,363,453
132,522,1023,378,462
133,503,1023,367,455
134,511,1023,370,462
135,531,1023,386,473
136,529,1023,380,467
137,525,1023,387,451
138,527,1023,366,447
139,524,1023,380,462
140,507,1023,371,454
141,516,1023,373,469
142,518,1023,378,466
143,510,1023,380,455
144,519,1023,371,453
145,515,1022,372,454
146,506,1022,375,451
147,529,1022,350,467
148,507,1022,360,451
149,524,1022,352,475
150,510,1023,373,462
151,521,1023,370,456
152,531,1023,366,465
153,536,1023,346,473
154,532,1009,374,458
155,503,968,489,469
156,523,1023,501,472
157,493,1023,360,449
158,511,1023,354,450
159,520,1023,335,451
160,533,1023,342,456
161,553,1023,356,461
162,548,1023,357,463
163,542,1023,356,464
164,543,1023,358,465
165,559,1023,367,468
166,562,1023,374,468
167,565,1023,378,469
168,566,1023,380,469
169,562,1023,376,468
170,551,1023,377,470
171,558,1023,381,471
172,568,1023,386,472
173,571,1023,388,474
174,525,1023,359,476
175,468,1022,326,480
176,471,1020,323,482
177,474,1020,329,484
178,476,1020,333,485
179,477,1021,335,486
180,478,1021,337,487
181,478,1021,337,487
182,479,1021,337,488
183,479,1020,338,488
184,481,1021,339,489
185,481,1021,341,489
186,482,1021,341,490
187,483,1021,341,490
188,483,1021,342,490
189,484,1020,342,491
190,485,1020,342,491
191,486,1020,342,491
192,486,1020,343,491
193,487,1020,344,492
194,487,1020,345,493
195,488,1020,346,494
196,488,1020,347,494
197,488,1020,347,494
198,488,1020,347,494
199,489,1020,348,495
200,489,1020,348,495
201,490,1020,349,496
202,490,1019,349,496
203,490,1019,350,496
204,491,1019,349,496
205,492,1019,350,496
206,492,1019,350,496
207,492,1019,350,497
208,492,1019,350,497
209,493,1019,350,497
210,494,1019,351,497
211,494,1019,349,497
212,494,1019,350,497
213,495,1019,349,498
214,495,1019,350,498
215,495,1019,351,498
216,496,1019,351,499
217,496,1019,353,500
218,496,1019,353,500
219,496,1019,353,500
220,497,1019,353,500
221,497,1019,352,500
222,497,1019,353,501
223,497,1019,353,501
224,498,1019,353,500
225,498,1019,352,501
226,498,1019,353,501
227,498,1019,354,501
228,498,1019,354,501
229,499,1019,354,501
230,499,1019,354,501
231,500,1019,354,501
232,501,1019,353,502
233,500,1019,352,502
234,500,1019,354,502
235,501,1019,355,502
236,501,1019,354,502
237,501,1019,354,502
238,501,1019,353,502
239,501,1019,352,503
240,502,1019,351,502
241,502,1019,350,502
242,502,1020,350,503
243,503,1020,353,502
244,503,1020,353,502
245,503,1020,352,502
246,503,1020,353,502
247,503,1020,354,503
248,503,1020,352,503
249,504,1020,352,503
250,503,1020,352,503
251,503,1020,352,503
252,504,1020,352,504
253,503,1020,352,504
254,504,1020,350,504
255,504,1020,350,504
256,504,1020,349,504
257,504,1020,348,504
258,505,1020,349,505
259,504,1020,347,505
260,505,1020,348,505
261,505,1020,346,505
262,505,1019,345,505
263,505,1020,345,505
264,505,1019,346,505
265,506,1019,347,505
266,506,1019,346,505
267,506,1019,348,505
268,506,1019,348,505
269,507,1019,348,505
270,507,1019,349,504
271,507,1019,349,505
272,508,1019,346,506
273,508,1019,341,506
274,508,1019,337,506
275,508,1019,338,506
276,508,1019,341,506
277,508,1019,342,506
278,508,1019,341,506
279,508,1019,340,507
280,508,1019,342,507
281,508,1019,342,507
282,508,1019,341,507
283,508,1019,341,507
284,509,1019,342,506
285,509,1019,345,507
286,509,1019,344,507
287,509,1019,345,507
288,509,1019,345,507
289,509,1019,345,507
290,509,1019,345,507
291,510,1019,346,508
292,510,1019,347,508
293,510,1019,347,508
294,510,1019,347,508
295,510,1019,348,508
296,510,1019,348,509
297,510,1019,349,508
298,510,1019,349,509
299,510,1019,349,509
300,510,1019,349,509
301,510,1019,349,509
302,511,1019,349,509
303,511,1019,348,509
304,510,1019,346,510
305,510,1019,347,510
306,510,1019,346,510
307,510,1019,347,510
308,511,1019,351,510
309,511,1019,352,510
310,511,1019,353,510
311,511,1019,355,510
312,512,1019,356,510
313,512,1019,355,510
314,512,1020,355,511
315,512,1019,355,511
316,512,1019,354,511
317,512,1019,355,511
318,512,1019,355,511
319,513,1019,355,511
320,512,1019,355,511
321,513,1019,347,511
322,513,1019,347,511
323,513,1019,349,512
324,514,1019,349,511
325,514,1019,354,512
326,514,1019,358,512
327,514,1019,358,512
328,514,1019,358,512
329,514,1019,360,512
330,514,1019,362,512
331,515,1019,363,512
