Time,Perspiration
0,0.006561875222222223
1,0.006801916875
2,0.006693860571428572
3,0.006808117444444445
4,0.005873062000000001
5,0.006688713999999999
6,0.00644753911111111
7,0.006213525499999999
8,0.007541357285714286
9,0.006843147222222223
10,0.006710153142857144
11,0.006607245874999999
12,0.006779083428571428
13,0.007565919375000001
14,0.007140231714285713
15,0.0073974424999999995
16,0.006723678857142858
17,0.007572131999999999
18,0.0070693577500000005
19,0.006372006
20,0.006912542200000001
21,0.006476404
22,0.006632121444444444
23,0.005916926571428572
24,0.006395473625
25,0.005818697142857143
26,0.006305776375
27,0.006049238857142857
28,0.006677744444444443
29,0.006800626375
30,0.006467898666666667
31,0.0069206846249999995
32,0.006776724
33,0.006111003714285715
34,0.0063867541250000005
35,0.007637297875
36,0.007271864777777777
37,0.006151605285714286
38,0.005757370625
39,0.006581122444444445
40,0.006987022875
41,0.006481220142857143
42,0.005846678875
43,0.005812708000000001
44,0.006168346625000001
45,0.0077821105
46,0.0070173322222222235
47,0.006782405999999999
48,0.006092686999999999
49,0.0059354145
50,0.006833394
51,0.0065803576
52,0.0076769955
53,0.00625787242857143
54,0.0064581655
55,0.0064719239999999996
56,0.006860862999999999
57,0.007019115374999999
58,0.00699794725
59,0.006429001142857144
60,0.006645404666666668
61,0.00628148111111111
62,0.0064067241111111116
63,0.006388228625
64,0.007532803
65,0.007657534249999999
66,0.006015876
67,0.0
68,0.007121893
69,0.007147230666666666
70,0.006063867875
71,0.006824255714285715
72,0.006597462500000002
73,0.0058057671666666665
74,0.005397419125
75,0.005254754166666667
76,0.00626404325
77,0.006284832428571428
78,0.006089386
79,0.006165275571428571
80,0.006499906999999999
81,0.005917648142857142
82,0.00659029675
83,0.006539846666666666
84,0.007038781444444444
85,0.006995282666666667
86,0.006061362222222223
87,0.0062026525714285715
88,0.006507263571428572
89,0.006547576777777778
90,0.007058761000000001
91,0.0078899934
92,0.0086193655
93,0.0
94,0.007507941799999999
95,0.007115983500000001
96,0.006847168285714285
97,0.007068581
98,0.006605942375000001
99,0.005981231
100,0.006641877285714286
101,0.0066865127777777774
102,0.006283615375
103,0.00629249575
104,0.0067413815714285705
105,0.006482489
106,0.007027894285714286
107,0.006636263888888888
108,0.006457715777777779
109,0.006590062999999999
110,0.007183698285714285
111,0.007492974124999999
112,0.00826071188888889
113,0.0070116617000000004
114,0.006714202571428571
115,0.006630973124999999
116,0.0067333423750000005
117,0.006702384999999999
118,0.006336118375000001
119,0.00710758875
120,0.006969509714285714
121,0.006756858499999999
122,0.006310244857142857
123,0.006482797444444443
124,0.007082855571428571
125,0.0070377588
126,0.006940946428571429
127,0.007240923875000001
128,0.007468379125000001
129,0.0069963006
130,0.007455265
131,0.006550195777777778
132,0.0063957945
133,0.00709465575
134,0.008045510249999999
135,0.007336528000000001
136,0.007561892714285714
137,0.0072864043750000005
138,0.007475387857142857
139,0.007124938000000001
140,0.007139249
141,0.006930832285714285
142,0.006745019375
143,0.006817711124999999
144,0.006713081142857143
145,0.006849458625
146,0.006745958444444444
147,0.006622358
148,0.006669255142857142
149,0.006689475875000001
150,0.006826189125000001
151,0.007285659
152,0.006765724000000001
153,0.006895615000000001
154,0.00677742642857143
155,0.007352267250000001
156,0.007965279714285716
157,0.007415543500000001
158,0.007366546375
159,0.007293352714285715
160,0.00706305825
161,0.007002124428571428
162,0.006925946222222222
163,0.007529367571428571
164,0.006836766
165,0.006954865571428571
166,0.006946875
167,0.006844302571428573
168,0.005883839375000001
169,0.006374319714285713
170,0.006417150888888889
171,0.006246780142857143
172,0.005960499374999999
173,0.006245050714285715
174,0.006339544888888888
175,0.006897562857142857
176,0.007158918625
177,0.006681927714285714
178,0.0061688282499999985
179,0.006059619714285714
180,0.0070827584999999995
181,0.0066244817142857145
182,0.006194639
183,0.006154265714285714
184,0.0064198826
185,0.005992606714285713
186,0.006264966625
187,0.0065802691428571425
188,0.006853917625000001
189,0.0071976455000000005
190,0.0070044307499999995
191,0.006445594125000001
192,0.006491225888888889
193,0.00619626957142857
194,0.006063430250000001
195,0.006295701285714285
196,0.006724202249999999
197,0.006460378
198,0.0069765143749999994
199,0.007188625
200,0.006717450125
201,0.006856905857142858
202,0.006931784555555556
203,0.0061918108571428565
204,0.006188149874999999
205,0.006053076714285714
206,0.006748890777777777
207,0.007382093714285714
208,0.006985219625
209,0.0062422960000000005
210,0.00663806325
211,0.006894075285714285
212,0.007263533777777779
213,0.0067843274999999995
214,0.006577511250000001
215,0.006334888142857142
216,0.0066312807499999986
217,0.006254697749999999
218,0.006616403125
219,0.006562663428571429
